category_id,category_name_raw,category_small_name,equipment_count_hint,large_category_id,large_category_name
4,プリンター (11 台),プリンター,11,3,その他
5,パッチクランプ (1 台),パッチクランプ,1,3,その他
6,その他 (235 台),その他,235,3,その他
8,ペプチドシンセサイザ (1 台),ペプチドシンセサイザ,1,7,ペプチド/タンパク解析装置
9,プロテインシーケンサー (4 台),プロテインシーケンサー,4,7,ペプチド/タンパク解析装置
11,25MHz NMR装置 (1 台),25MHz NMR装置,1,10,核磁気共鳴装置(NMR)
14,300MHz NMR装置 (2 台),300MHz NMR装置,2,10,核磁気共鳴装置(NMR)
15,300MHz 固体NMR装置 (4 台),300MHz 固体NMR装置,4,10,核磁気共鳴装置(NMR)
16,400MHz NMR装置 (50 台),400MHz NMR装置,50,10,核磁気共鳴装置(NMR)
17,400MHz 固体NMR装置 (9 台),400MHz 固体NMR装置,9,10,核磁気共鳴装置(NMR)
18,500MHz NMR装置 (44 台),500MHz NMR装置,44,10,核磁気共鳴装置(NMR)
19,500MHz 固体NMR装置 (3 台),500MHz 固体NMR装置,3,10,核磁気共鳴装置(NMR)
20,600MHz NMR装置 (28 台),600MHz NMR装置,28,10,核磁気共鳴装置(NMR)
21,600MHz 固体NMR装置 (9 台),600MHz 固体NMR装置,9,10,核磁気共鳴装置(NMR)
22,700MHz NMR装置 (3 台),700MHz NMR装置,3,10,核磁気共鳴装置(NMR)
24,800MHz NMR装置 (6 台),800MHz NMR装置,6,10,核磁気共鳴装置(NMR)
27,X線光電子分光分析装置(XPS、ESCA) (20 台),X線光電子分光分析装置(XPS、ESCA),20,26,光分析装置
28,蛍光分光装置(FL) (26 台),蛍光分光装置(FL),26,26,光分析装置
29,"光電子分光装置 (XPS, UPS, ESCA, PYS) (17 台)","光電子分光装置 (XPS, UPS, ESCA, PYS)",17,26,光分析装置
30,赤外分光光度計/ラマン分光装置 (90 台),赤外分光光度計/ラマン分光装置,90,26,光分析装置
31,旋光計(polarimeter) (8 台),旋光計(polarimeter),8,26,光分析装置
32,旋光分散計・円ニ色性分散計 (20 台),旋光分散計・円ニ色性分散計,20,26,光分析装置
33,可視・紫外分光光度計 (30 台),可視・紫外分光光度計,30,26,光分析装置
34,蛍光・発光マイクロプレートリーダー (24 台),蛍光・発光マイクロプレートリーダー,24,26,光分析装置
35,吸光プレートリーダー (2 台),吸光プレートリーダー,2,26,光分析装置
36,マルチプレックスアッセイシステム (2 台),マルチプレックスアッセイシステム,2,26,光分析装置
37,発光・蛍光光度計 (6 台),発光・蛍光光度計,6,26,光分析装置
38,その他 (14 台),その他,14,26,光分析装置
40,ICP/MS (15 台),ICP/MS,15,39,構造解析/元素分析
41,ICP発光分析装置 (27 台),ICP発光分析装置,27,39,構造解析/元素分析
42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,39,構造解析/元素分析
43,マスイメージング装置(MS imaging) (2 台),マスイメージング装置(MS imaging),2,39,構造解析/元素分析
44,蛍光X線装置 (37 台),蛍光X線装置,37,39,構造解析/元素分析
45,元素分析関連製品 (47 台),元素分析関連製品,47,39,構造解析/元素分析
46,原子吸光光度計 (9 台),原子吸光光度計,9,39,構造解析/元素分析
47,電子スピン共鳴装置(ESR) (34 台),電子スピン共鳴装置(ESR),34,39,構造解析/元素分析
48,"粉末・薄膜X線回折、小角散乱(XRD, SAXS) (37 台)","粉末・薄膜X線回折、小角散乱(XRD, SAXS)",37,39,構造解析/元素分析
49,その他 (4 台),その他,4,39,構造解析/元素分析
51,オージェ電子分光装置(AES) (4 台),オージェ電子分光装置(AES),4,50,専用測定装置
53,グロー放電発光分析装置 (2 台),グロー放電発光分析装置,2,50,専用測定装置
54,メスバウアー分光装置(Moessbauer) (3 台),メスバウアー分光装置(Moessbauer),3,50,専用測定装置
55,レーザー (8 台),レーザー,8,50,専用測定装置
56,光合成蒸散測定装置 (1 台),光合成蒸散測定装置,1,50,専用測定装置
57,水銀測定装置 (2 台),水銀測定装置,2,50,専用測定装置
58,生化学分析装置 (1 台),生化学分析装置,1,50,専用測定装置
59,全有機体炭素計(TOC) (5 台),全有機体炭素計(TOC),5,50,専用測定装置
60,比表面積/細孔分布(ポロシメータ、吸着料測定) (7 台),比表面積/細孔分布(ポロシメータ、吸着料測定),7,50,専用測定装置
61,表面粗さ・表面形状測定器 (15 台),表面粗さ・表面形状測定器,15,50,専用測定装置
62,放射線・RI(放射性同位体)関連 (83 台),放射線・RI(放射性同位体)関連,83,50,専用測定装置
63,フラックスアナライザー (2 台),フラックスアナライザー,2,50,専用測定装置
66,シミュレーター (2 台),シミュレーター,2,50,専用測定装置
67,パルスラジオリシス装置 (1 台),パルスラジオリシス装置,1,50,専用測定装置
68,その他 (51 台),その他,51,50,専用測定装置
70,キャピラリー電気泳動装置 (13 台),キャピラリー電気泳動装置,13,69,電気泳動装置
71,ゲル・等電点電気泳動装置 (14 台),ゲル・等電点電気泳動装置,14,69,電気泳動装置
73,土木・建築・工学関連装置 (129 台),土木・建築・工学関連装置,129,72,土木・建築・工学関連装置
75,レオロジー測定装置(rheometry) (10 台),レオロジー測定装置(rheometry),10,74,物性計測/成分分析
76,光散乱光度計(ポリマー分子量・ゼータ電位・粒子径)(MALS他) (13 台),光散乱光度計(ポリマー分子量・ゼータ電位・粒子径)(MALS他),13,74,物性計測/成分分析
77,水分測定装置/水分活性測定 (2 台),水分測定装置/水分活性測定,2,74,物性計測/成分分析
78,粒度分布測定・ゼータ電位測定 (9 台),粒度分布測定・ゼータ電位測定,9,74,物性計測/成分分析
79,"磁気特性測定装置(SQUID, VSM) (33 台)","磁気特性測定装置(SQUID, VSM)",33,74,物性計測/成分分析
81,粘度計 (4 台),粘度計,4,74,物性計測/成分分析
82,その他 (13 台),その他,13,74,物性計測/成分分析
84,ガスクロマトグラフ(GC) (13 台),ガスクロマトグラフ(GC),13,83,分離分析装置
85,アミノ酸分析 (5 台),アミノ酸分析,5,83,分離分析装置
86,液体クロマトグラフ(HPLC/UPLC) (34 台),液体クロマトグラフ(HPLC/UPLC),34,83,分離分析装置
87,イオンクロマトグラフ(HPLC) (9 台),イオンクロマトグラフ(HPLC),9,83,分離分析装置
88,ゲルパーミエイションクロマトグラフィ(GPC) (4 台),ゲルパーミエイションクロマトグラフィ(GPC),4,83,分離分析装置
89,その他 (5 台),その他,5,83,分離分析装置
91,プレートウォッシャー (1 台),プレートウォッシャー,1,90,液体操作
92,分注機 (4 台),分注機,4,90,液体操作
94,ホモジナイザー (16 台),ホモジナイザー,16,93,遠心/粉砕/加熱機器
95,マイクロウェーブ反応装置 (2 台),マイクロウェーブ反応装置,2,93,遠心/粉砕/加熱機器
96,遠心分離機 (32 台),遠心分離機,32,93,遠心/粉砕/加熱機器
97,ハイブリダイゼーション (1 台),ハイブリダイゼーション,1,93,遠心/粉砕/加熱機器
98,超音波破砕 (6 台),超音波破砕,6,93,遠心/粉砕/加熱機器
99,超遠心分離機 (32 台),超遠心分離機,32,93,遠心/粉砕/加熱機器
100,電気炉 (1 台),電気炉,1,93,遠心/粉砕/加熱機器
101,濃縮機 (7 台),濃縮機,7,93,遠心/粉砕/加熱機器
102,密度勾配作成 (2 台),密度勾配作成,2,93,遠心/粉砕/加熱機器
104,超低温フリーザー (6 台),超低温フリーザー,6,103,保管/収納
105,デシケーター (2 台),デシケーター,2,103,保管/収納
107,高速度カメラ・サーモカメラ (15 台),高速度カメラ・サーモカメラ,15,106,画像撮影/解析
108,化学発光・蛍光撮影装置(スキャナタイプ) (13 台),化学発光・蛍光撮影装置(スキャナタイプ),13,106,画像撮影/解析
109,ゲル・メンブレン撮影装置(CCDタイプ) (10 台),ゲル・メンブレン撮影装置(CCDタイプ),10,106,画像撮影/解析
110,生体内イメージャー (5 台),生体内イメージャー,5,106,画像撮影/解析
111,ソフトウェア (6 台),ソフトウェア,6,106,画像撮影/解析
112,化学発光・蛍光撮影装置(CCDカメラタイプ) (18 台),化学発光・蛍光撮影装置(CCDカメラタイプ),18,106,画像撮影/解析
113,"核磁気共鳴イメージング(MRI), X線CT (XrayCT), PET (27 台)","核磁気共鳴イメージング(MRI), X線CT (XrayCT), PET",27,106,画像撮影/解析
114,生体イメージャー (1 台),生体イメージャー,1,106,画像撮影/解析
115,その他 (14 台),その他,14,106,画像撮影/解析
117,表面プラズモン共鳴(SPR) (7 台),表面プラズモン共鳴(SPR),7,116,分子間相互作用解析装置
118,蛍光相関分光(FCS/FCCS) (1 台),蛍光相関分光(FCS/FCCS),1,116,分子間相互作用解析装置
119,その他 (7 台),その他,7,116,分子間相互作用解析装置
121,オートクレーブ (11 台),オートクレーブ,11,120,培養/恒温恒湿度器/滅菌機機
122,CO2/O2インキュベーター (8 台),CO2/O2インキュベーター,8,120,培養/恒温恒湿度器/滅菌機機
123,回転/振とう培養器 (16 台),回転/振とう培養器,16,120,培養/恒温恒湿度器/滅菌機機
124,微生物培養 (35 台),微生物培養,35,120,培養/恒温恒湿度器/滅菌機機
125,その他 (17 台),その他,17,120,培養/恒温恒湿度器/滅菌機機
127,セルソーター (32 台),セルソーター,32,126,フローサイトメトリー(FCM)/細胞分離
128,セルアナライザー (17 台),セルアナライザー,17,126,フローサイトメトリー(FCM)/細胞分離
129,磁気細胞分離 (1 台),磁気細胞分離,1,126,フローサイトメトリー(FCM)/細胞分離
131,二重収束型MS (17 台),二重収束型MS,17,130,質量分析装置(MS)
132,LC-MS/LC-MS-MS (23 台),LC-MS/LC-MS-MS,23,130,質量分析装置(MS)
133,LC-MS/LC-MS-MS(イオントラップ) (3 台),LC-MS/LC-MS-MS(イオントラップ),3,130,質量分析装置(MS)
134,LC-MS/LC-MS-MS(四重極) (13 台),LC-MS/LC-MS-MS(四重極),13,130,質量分析装置(MS)
135,LC-MS/LC-MS-MS(フーリエ変換型) (5 台),LC-MS/LC-MS-MS(フーリエ変換型),5,130,質量分析装置(MS)
136,LC-MS/LC-MS-MS(ハイブリッド) (14 台),LC-MS/LC-MS-MS(ハイブリッド),14,130,質量分析装置(MS)
137,GC-MS/GC-TOF-MS (18 台),GC-MS/GC-TOF-MS,18,130,質量分析装置(MS)
138,GC-MS(その他) (13 台),GC-MS(その他),13,130,質量分析装置(MS)
139,MALDI-TOF-MS (40 台),MALDI-TOF-MS,40,130,質量分析装置(MS)
140,ハイブリッドTOF-MS (12 台),ハイブリッドTOF-MS,12,130,質量分析装置(MS)
141,その他 (35 台),その他,35,130,質量分析装置(MS)
143,熱分析・熱測定装置 (59 台),熱分析・熱測定装置,59,142,熱分析・熱測定装置
145,デジタルマイクロスコープ (15 台),デジタルマイクロスコープ,15,144,光学顕微鏡/病理
146,蛍光顕微鏡 (40 台),蛍光顕微鏡,40,144,光学顕微鏡/病理
147,光学顕微鏡(Optical Microscope) (12 台),光学顕微鏡(Optical Microscope),12,144,光学顕微鏡/病理
148,共焦点顕微鏡(Confocal microscopy) (50 台),共焦点顕微鏡(Confocal microscopy),50,144,光学顕微鏡/病理
149,多光子励起レーザ走査型顕微鏡 (7 台),多光子励起レーザ走査型顕微鏡,7,144,光学顕微鏡/病理
150,レーザーマイクロダイセクション(LMD) (9 台),レーザーマイクロダイセクション(LMD),9,144,光学顕微鏡/病理
151,超解像顕微鏡 (6 台),超解像顕微鏡,6,144,光学顕微鏡/病理
152,全反射照明蛍光顕微鏡(TIRF) (1 台),全反射照明蛍光顕微鏡(TIRF),1,144,光学顕微鏡/病理
153,金属顕微鏡 (5 台),金属顕微鏡,5,144,光学顕微鏡/病理
154,ライブセルイメージング装置 (16 台),ライブセルイメージング装置,16,144,光学顕微鏡/病理
155,染色/包埋/ミクロトーム (30 台),染色/包埋/ミクロトーム,30,144,光学顕微鏡/病理
156,その他 (5 台),その他,5,144,光学顕微鏡/病理
158,"走査型プローブ顕微鏡 (SPM, STM, AFM) (57 台)","走査型プローブ顕微鏡 (SPM, STM, AFM)",57,157,電子顕微鏡および関連機器
159,走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)) (142 台),走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)),142,157,電子顕微鏡および関連機器
160,超音波顕微鏡(Ultrasound Microscope) (1 台),超音波顕微鏡(Ultrasound Microscope),1,157,電子顕微鏡および関連機器
161,超薄膜評価装置(STEM) (3 台),超薄膜評価装置(STEM),3,157,電子顕微鏡および関連機器
162,電顕用試料作成装置-ミクロトーム等(EM sample preparation. e.g. Microtome.) (84 台),電顕用試料作成装置-ミクロトーム等(EM sample preparation. e.g. Microtome.),84,157,電子顕微鏡および関連機器
163,透過型電子顕微鏡 (TEM) (83 台),透過型電子顕微鏡 (TEM),83,157,電子顕微鏡および関連機器
164,"微細加工装置(EB, FIB他) (73 台)","微細加工装置(EB, FIB他)",73,157,電子顕微鏡および関連機器
165,電子プローブマイクロアナライザ(EPMA) (7 台),電子プローブマイクロアナライザ(EPMA),7,157,電子顕微鏡および関連機器
167,半導体製造関連装置 (98 台),半導体製造関連装置,98,166,半導体製造関連装置
169,DNAシーケンサー(サンガ―法) (30 台),DNAシーケンサー(サンガ―法),30,168,遺伝子・ゲノム
170,DNAシーケンサー(NGS) (35 台),DNAシーケンサー(NGS),35,168,遺伝子・ゲノム
171,マイクロアレイ解析システム (10 台),マイクロアレイ解析システム,10,168,遺伝子・ゲノム
172,遺伝子導入装置 (12 台),遺伝子導入装置,12,168,遺伝子・ゲノム
173,サーマルサイクラー(PCR) (20 台),サーマルサイクラー(PCR),20,168,遺伝子・ゲノム
174,リアルタイムPCR装置 (40 台),リアルタイムPCR装置,40,168,遺伝子・ゲノム
175,デジタルPCR装置装置 (9 台),デジタルPCR装置装置,9,168,遺伝子・ゲノム
176,自動核酸抽出精製装置 (6 台),自動核酸抽出精製装置,6,168,遺伝子・ゲノム
177,その他 (15 台),その他,15,168,遺伝子・ゲノム
179,植物試験研究システム (1 台),植物試験研究システム,1,178,実験施設
180,環境試験 (1 台),環境試験,1,178,実験施設
181,飼育 (7 台),飼育,7,178,実験施設
182,ドラフトチャンバー (7 台),ドラフトチャンバー,7,178,実験施設
183,シームレス地球・惑星物質観察分析システム (4 台),シームレス地球・惑星物質観察分析システム,4,178,実験施設
184,蒸留水・超純水装置 (11 台),蒸留水・超純水装置,11,178,実験施設
185,その他 (36 台),その他,36,178,実験施設
187,サイクロトロン (8 台),サイクロトロン,8,186,加速器
189,エリプソメーター (14 台),エリプソメーター,14,188,成膜・蒸着・膜厚測定
190,真空蒸着・スパッタ(vac. coater・Sputter) (50 台),真空蒸着・スパッタ(vac. coater・Sputter),50,188,成膜・蒸着・膜厚測定
