eqnet_equipment_id,large_category_id,large_category_name,category_id,category_name_raw,category_small_name,equipment_count_hint,source_total,candidate_count,has_conflict
9,10,核磁気共鳴装置(NMR),16,400MHz NMR装置 (50 台),400MHz NMR装置,50,50,1,False
14,10,核磁気共鳴装置(NMR),20,600MHz NMR装置 (28 台),600MHz NMR装置,28,28,1,False
18,130,質量分析装置(MS),131,二重収束型MS (17 台),二重収束型MS,17,17,1,False
21,130,質量分析装置(MS),137,GC-MS/GC-TOF-MS (18 台),GC-MS/GC-TOF-MS,18,18,1,False
23,39,構造解析/元素分析,45,元素分析関連製品 (47 台),元素分析関連製品,47,47,1,False
24,157,電子顕微鏡および関連機器,159,走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)) (142 台),走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)),142,142,1,False
25,130,質量分析装置(MS),140,ハイブリッドTOF-MS (12 台),ハイブリッドTOF-MS,12,12,1,False
26,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
27,83,分離分析装置,85,アミノ酸分析 (5 台),アミノ酸分析,5,5,1,False
29,10,核磁気共鳴装置(NMR),16,400MHz NMR装置 (50 台),400MHz NMR装置,50,50,1,False
31,39,構造解析/元素分析,45,元素分析関連製品 (47 台),元素分析関連製品,47,47,1,False
32,130,質量分析装置(MS),131,二重収束型MS (17 台),二重収束型MS,17,17,1,False
33,10,核磁気共鳴装置(NMR),16,400MHz NMR装置 (50 台),400MHz NMR装置,50,50,1,False
36,10,核磁気共鳴装置(NMR),16,400MHz NMR装置 (50 台),400MHz NMR装置,50,50,1,False
39,130,質量分析装置(MS),141,その他 (35 台),その他,35,35,1,False
41,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
43,26,光分析装置,30,赤外分光光度計/ラマン分光装置 (90 台),赤外分光光度計/ラマン分光装置,90,90,1,False
51,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
52,157,電子顕微鏡および関連機器,159,走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)) (142 台),走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)),142,142,1,False
55,39,構造解析/元素分析,42,X線回折装置(XRD) (102 台),X線回折装置(XRD),102,102,1,False
57,130,質量分析装置(MS),131,二重収束型MS (17 台),二重収束型MS,17,17,1,False
66,39,構造解析/元素分析,45,元素分析関連製品 (47 台),元素分析関連製品,47,47,1,False
67,39,構造解析/元素分析,45,元素分析関連製品 (47 台),元素分析関連製品,47,47,1,False
72,39,構造解析/元素分析,47,電子スピン共鳴装置(ESR) (34 台),電子スピン共鳴装置(ESR),34,34,1,False
75,26,光分析装置,32,旋光分散計・円ニ色性分散計 (20 台),旋光分散計・円ニ色性分散計,20,20,1,False
80,10,核磁気共鳴装置(NMR),24,800MHz NMR装置 (6 台),800MHz NMR装置,6,6,1,False
81,50,専用測定装置,67,パルスラジオリシス装置 (1 台),パルスラジオリシス装置,1,1,1,False
82,130,質量分析装置(MS),131,二重収束型MS (17 台),二重収束型MS,17,17,1,False
88,39,構造解析/元素分析,45,元素分析関連製品 (47 台),元素分析関連製品,47,47,1,False
89,10,核磁気共鳴装置(NMR),18,500MHz NMR装置 (44 台),500MHz NMR装置,44,44,1,False
92,39,構造解析/元素分析,45,元素分析関連製品 (47 台),元素分析関連製品,47,47,1,False
93,142,熱分析・熱測定装置,143,熱分析・熱測定装置 (59 台),熱分析・熱測定装置,59,59,1,False
