doc_id,equipment_id,name,org_name,eqnet_equipment_id,status,before_general,before_detail,new_general,new_detail,category_changed,fallback
002KVtwb3DcwtGekcLdD,002KVtwb3DcwtGekcLdD,TG-GC-MS (Netzsch、島津),お茶の水女子大学 共通機器センター,,fallback,質量分析装置,,その他,質量分析装置,True,True
019nTUsW0xAtvbl9MCeY,KAGAWA-c2500ba9c8,エリプソメータ,香川大学 微細加工プラットフォーム,,fallback,微細加工プラットフォーム,評価装置,その他,微細加工プラットフォーム / 評価装置,True,True
01ZdNgHPMrwIcs4QayMs,HOKUDAI-AP-100319,スライドスキャナー装置,北海道大学,,fallback,バイオ関連分析装置 (Bio-related Analytical Equipment),その他のバイオ関連分析装置 (その他のバイオ関連分析装置),その他,バイオ関連分析装置 (Bio-related Analytical Equipment) / その他のバイオ関連分析装置 (その他のバイオ関連分析装置),True,True
020deicYpH2vLSQZXbYn,020deicYpH2vLSQZXbYn,小型切断機-V,鹿児島大学 先端科学研究推進センター 機器分析部門,,fallback,機器分析部門,理工系総合研究棟6F,その他,機器分析部門 / 理工系総合研究棟6F,True,True
02y664z8320kdGynar38,HOKUDAI-AP-902098,水晶振動子マイクロバランス応用分子間相互作用解析装置,北海道大学,,fallback,周辺設備_HU (Peripheral Equipment),None,その他,周辺設備_HU (Peripheral Equipment) / None,True,True
0490XBbvpqWr1p5aSYAr,TOHOKU-682,[682]住友 TEOS PECVD#2〔リンク〕,東北大学,,fallback,加工・処理,微細加工・デバイス作製・評価,その他,加工・処理 / 微細加工・デバイス作製・評価,True,True
05KFuRmZPW0eItBHjHTB,KYUSHU-IM-3000,フラットミリング装置(IM-3000),九州大学 中央分析センター(伊都地区),,fallback,,,その他,未分類,True,True
05a2HvpD60wa9U7zLld0,HOKUDAI-AP-100323,高精度圧力制御システム,北海道大学,,fallback,物性測定装置 (Physical Property Measurement Equipment),その他の物性測定装置 (Other Physical Property Measurement Equipment),その他,物性測定装置 (Physical Property Measurement Equipment) / その他の物性測定装置 (Other Physical Property Measurement Equipment),True,True
05nx1uFTnyHG9WfLfLOd,05nx1uFTnyHG9WfLfLOd,Fluorescence Spectrophotometer,沖縄科学技術大学院大学 Instrumental Analysis Section,,fallback,Other Analytical Instrument,,その他,Other Analytical Instrument,True,True
064YwKoDxMzSgpxVn0fl,KYUSHU-lsm-510-meta-nlo,二光子共焦点レーザー顕微鏡 (Carl Zeiss LSM 510 Meta NLO),九州大学 中央分析センター(伊都地区),,fallback,,,その他,未分類,True,True
07R4F47G3hoL4COzim35,HOKUDAI-AP-100399,等温滴定型熱量計,北海道大学,,fallback,バイオ関連分析装置 (Bio-related Analytical Equipment),その他のバイオ関連分析装置 (その他のバイオ関連分析装置),その他,バイオ関連分析装置 (Bio-related Analytical Equipment) / その他のバイオ関連分析装置 (その他のバイオ関連分析装置),True,True
07lUkrRo7W47MDZ66aLe,NAGOYA-IMASS-9,エネルギー分散型X線分析装置付走査型電子顕微鏡 (日立ハイテクS3000N),名古屋大学 未来材料・システム研究所,,fallback,共通機器,,その他,共通機器,True,True
095vgO4iE1wacG1MUNYe,095vgO4iE1wacG1MUNYe,卓上遠心機,東京工業大学,,fallback,理化学機器,- / -,その他,理化学機器 / - / -,True,True
09GyQB8dWePceVsUOoGy,HOKUDAI-AP-901357,凍結破砕装置 オートミル,北海道大学,,fallback,微細加工・表面加工装置_HU (Microfabrication & Surface Processing Equipment),None,その他,微細加工・表面加工装置_HU (Microfabrication & Surface Processing Equipment) / None,True,True
09H6HJILTwVlFiZI7z9N,AIST-F05-101,低エネルギー高電流イオン注入装置,産業技術総合研究所,,fallback,,,その他,未分類,True,True
09s5ujYX4DiPfL6JrOmB,UEC-199,電子線元素状態分析装置 EPMA,電気通信大学 研究設備センター 基盤研究設備部門,,fallback,基盤研究設備部門,,その他,基盤研究設備部門,True,True
09xiabwQCG8Jz2nSt3YV,09xiabwQCG8Jz2nSt3YV,核磁気共鳴装置(JNM-ECS400),九州大学 中央分析センター部局管理装置(筑紫地区),,fallback,,,その他,未分類,True,True
0CYf6mtupzGLq1gI3meX,MURORAN-list_23,超微小押込み硬度試験機(ナノインデンター),室蘭工業大学 研究基盤設備共用センター,,fallback,物性評価,,その他,物性評価,True,True
0CvVXwXOIbKS51h0f4Rk,0CvVXwXOIbKS51h0f4Rk,CCDマルチICP発光分光分析装置,九州大学 中央分析センター(筑紫地区),,fallback,,,その他,未分類,True,True
0DB6BGf9U2jma6dj1Fze,TSUKUBA-574,(ARIM)超高温炉 SR1800TS,筑波大学 オープンファシリティー推進機構,,fallback,LSIプロセス装置,,その他,LSIプロセス装置,True,True
0DhPnnl72RQ2mb15FPf9,HOKUDAI-AP-902039,NanoDrop Lite Plus Spectrophotometer,北海道大学,,fallback,バイオ関連分析装置_HU (Bio-related Analytical Equipment),None,その他,バイオ関連分析装置_HU (Bio-related Analytical Equipment) / None,True,True
0ECVrnybdpnBHLYPmCdc,HOKUDAI-AP-100321,小型自動質量分析装置(HPLC-シングル四重極MS),北海道大学,,fallback,質量分析装置 (Mass Spectrometer),液体クロマトグラフ質量分析装置(LC-MS) (Liquid Chromatograph-Mass Spectrometer (LC-MS)),その他,質量分析装置 (Mass Spectrometer) / 液体クロマトグラフ質量分析装置(LC-MS) (Liquid Chromatograph-Mass Spectrometer (LC-MS)),True,True
0EPkdsPxiYCiMNsG1Blr,NITECH-jxa8530f,電界放出型電子プローブマイクロアナライザ(EPMA),名古屋工業大学,,fallback,分析装置・機器紹介,X線マイクロアナライザー室,その他,分析装置・機器紹介 / X線マイクロアナライザー室,True,True
0ETtIhtHkwEHGF8wNUbD,HOKUDAI-AP-900797,3D測定レーザー顕微鏡,北海道大学,,fallback,顕微鏡(その他)_HU (Other Microscopes),None,その他,顕微鏡(その他)_HU (Other Microscopes) / None,True,True
0EolnmqWCY7rQY51ivd6,TSUKUBA-117,スキャナータイプ画像解析装置 FLA 7000,筑波大学 オープンファシリティー推進機構,,fallback,生体物質解析装置,,その他,生体物質解析装置,True,True
0F6f7oGV9k4DoEom22Uy,HOKUDAI-AP-902100,超音波ホモジナイザー,北海道大学,,fallback,微細加工・表面加工装置_HU (Microfabrication & Surface Processing Equipment),None,その他,微細加工・表面加工装置_HU (Microfabrication & Surface Processing Equipment) / None,True,True
0GGo2oV9YxDZFO2bNoNb,0GGo2oV9YxDZFO2bNoNb,AR-NW14A Time-resolved Diffraction and Scattering,高エネルギー加速器研究機構 Photon Factory,,fallback,ビームライン,,その他,ビームライン,True,True
