prefecture,org_name,firestore_count,source_sites,eqnet_only,has_non_eqnet,registry_key,registry_match_mode,parser_type,official_page_status,official_page_url,page_http_status,query_status,query_candidate_count,observed_count,observed_note,count_diff,count_judgement,priority,priority_reason,network_status
千葉県,千葉大学 共用機器センター 共用機器センタ- 共用機器センター,7,eqnet,True,False,chiba,prefix,source_handler,公開あり,https://www.chiba-u.jp/,200,skipped,0,,skipped,,要確認,2,eqnet only かつ 公式ページあり,ok
奈良県,奈良工業高等専門学校 物質化学工学科 物質化学工学科 亀井研究室,1,eqnet,True,False,nara_kosen,prefix,source_handler,公開あり,https://www.nit-nara-ia-center.share-ac.jp/facilities/,200,skipped,0,,skipped,,要確認,2,eqnet only かつ 公式ページあり,ok
奈良県,奈良教育大学 教育学部 理科教育講座 山崎 祥子,1,eqnet,True,False,nara_edu,prefix,query_only,公開あり,https://www.nara-edu.ac.jp/research/,200,skipped,0,,skipped,,要確認,2,eqnet only かつ 公式ページあり,ok
奈良県,奈良教育大学 教育学部 理科教育講座 常田 琢,1,eqnet,True,False,nara_edu,prefix,query_only,公開あり,https://www.nara-edu.ac.jp/research/,200,skipped,0,,skipped,,要確認,2,eqnet only かつ 公式ページあり,ok
奈良県,奈良女子大学 人間文化研究科 共生自然科学専攻,2,eqnet,True,False,nara_wu,prefix,query_only,公開あり,https://www.nara-wu.ac.jp/nwu/research/,200,skipped,0,,skipped,,要確認,2,eqnet only かつ 公式ページあり,ok
奈良県,奈良工業高等専門学校 物質化学工学科 物質化学工学科 山田研究室,2,eqnet,True,False,nara_kosen,prefix,source_handler,公開あり,https://www.nit-nara-ia-center.share-ac.jp/facilities/,200,skipped,0,,skipped,,要確認,2,eqnet only かつ 公式ページあり,ok
山形県,山形大学 農学部,2,eqnet,True,False,yamagata_u,prefix,query_only,公開あり,https://www.yamagata-u.ac.jp/jp/,200,skipped,0,,skipped,,要確認,2,eqnet only かつ 公式ページあり,ok
山形県,山形大学 工学部,8,eqnet,True,False,yamagata_u,prefix,query_only,公開あり,https://www.yamagata-u.ac.jp/jp/,200,skipped,0,,skipped,,要確認,2,eqnet only かつ 公式ページあり,ok
長野県,信州大学 基盤研究支援センター 機器分析支援部門 機器分析支援部門伊那分室,1,eqnet,True,False,shinshu,prefix,source_handler,公開あり,https://www.shinshu-u.ac.jp/institution/kiban/kiki/secchi/,200,skipped,0,,skipped,,要確認,2,eqnet only かつ 公式ページあり,ok
三重県,三重大学 生命科学研究支援センター,1,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
三重県,三重大学 社会連携研究センター,4,eqnet,True,False,,none,,未確認,,0,skipped,0,,skipped,,要確認,3,eqnet only だが外部ページ未確認,
