priority_rank,priority_group,priority_label,doc_id,name,org_name,category_general,category_detail,papers_count,doi_1,title_1,year_1,abstract_1,doi_2,title_2,year_2,abstract_2,doi_3,title_3,year_3,abstract_3
1,1,SEM/FIB/イオンミリング,eqnet-3613,"""イオンミリング(IM4000)""",大阪大学 産業科学研究所 フレキシブル3D実装協働研究所 フレキシブル3D実装協働研究所,電子顕微鏡および関連機器,電顕用試料作成装置-ミクロトーム等(EM sample preparation. e.g. Microtome.),3,10.1016/j.biomaterials.2025.123481,Osteogenic and antibacterial enhancement by alloying design and microstructural modification of additively manufactured biodegradable metals,2026,要旨未取得のため、論文題名「Osteogenic and antibacterial enhancement by alloying design and microstructural modification of additively manufactured biodegradable metals」を基にした暫定要約です。 掲載誌: Biomaterials 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.1371/journal.pone.0323968,NMR and SEM fractal dimensions explore shale pore structure taking the Upper Paleozoic shale in Ordos Basin as an example,2025,"In this paper, the fractal dimension is calculated by extracting pore parameters from SEM images and NMR experimental data, the pore structure heterogeneity in plane and space is comprehensively discussed, and the relationship between the fractal dimension and shale composition and physical parameters is discussed, providing new ideas for the study of shale reservoirs heterogeneity. Fractal dimension analysis of SEM images reveals that the shale pores of the Shanxi Formation can be divided into…",10.1073/pnas.2118868119,Nacre-like composites with superior specific damping performance,2022,"Biological materials such as nacre have evolved microstructural design principles that result in outstanding mechanical properties. While nacre’s design concepts have led to bio-inspired materials with enhanced fracture toughness, the microstructural features underlying the remarkable damping properties of this biological material have not yet been fully explored in synthetic composites. Here, we study the damping behavior of nacre-like composites containing mineral bridges and platelet asperit…"
2,1,SEM/FIB/イオンミリング,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,電子顕微鏡および関連機器,"微細加工装置(EB, FIB他)",3,10.1038/s41598-025-33947-y,Morphological evolution of silicon surfaces nanopatterned by focused ion beam irradiation,2026,"Abstract Nanopatterning on solid surface has emerged as an important tool in the field of nanotechnology, nano/micro-electromechanical systems (NEMS/MEMS), photonics, and biotechnology. Among the available techniques, focused ion beam (FIB) enables controlled and precise nanopatterning on solid surfaces. The formation and evolution of nanoripple patterns on silicon (Si) surfaces by 30 keV Ga⁺ focused ion beam (FIB) irradiation has been investigated in this study. We perform a systematic study t…",10.1038/s41467-025-65548-8,Optical interference for the guidance of cryogenic focused ion beam milling beyond the axial diffraction limit,2026,"Cryogenic focused ion beam (Cryo-FIB) milling has become a standard step in the cryogenic electron tomography (Cryo-ET) workflow and is required to thin cells to electron-semitransparency. However, this destructive process removes the vast majority of the cellular material and raises a critical question: what thin section should be preserved for Cryo-ET analysis? Using a tri-coincident cryogenic FIB-SEM-LM system, we identify an interferometric optical response that can be used for targeting la…",10.1038/s41598-025-32444-6,Application of convolutional neural networks in focused ion beam scanning electron microscopy image denoising,2026,要旨未取得のため、論文題名「Application of convolutional neural networks in focused ion beam scanning electron microscopy image denoising」を基にした暫定要約です。 掲載誌: Scientific Reports 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
3,1,SEM/FIB/イオンミリング,eqnet-2444,(工)レーザマーカー(サンインスツルメント・YS-P30),広島大学 先進理工系科学研究科 機械工学プログラム 機械加工システム,電子顕微鏡および関連機器,"微細加工装置(EB, FIB他)",3,10.1186/s12864-025-12465-1,"Genomic insights into population structure, genetic diversity, and key traits of Jiangxi indigenous pigs",2026,"要旨未取得のため、論文題名「Genomic insights into population structure, genetic diversity, and key traits of Jiangxi indigenous pigs」を基にした暫定要約です。 掲載誌: BMC Genomics 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。",10.1186/s12870-025-08070-9,Transcriptome analysis reveals the mechanisms of flavonoid accumulation in different Morus alba L. varieties,2026,要旨未取得のため、論文題名「Transcriptome analysis reveals the mechanisms of flavonoid accumulation in different Morus alba L. varieties」を基にした暫定要約です。 掲載誌: BMC Plant Biology 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.1038/s41598-025-29443-y,A big data approach to artificial intelligence driven predictive modelling for optimizing material properties in additive manufacturing,2026,要旨未取得のため、論文題名「A big data approach to artificial intelligence driven predictive modelling for optimizing material properties in additive manufacturing」を基にした暫定要約です。 掲載誌: Scientific Reports 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
4,1,SEM/FIB/イオンミリング,eqnet-2753,2μmTmファイバーレーザ加工装置,広島大学 先進理工系科学研究科 機械工学プログラム 接合プロセス工学研究室,電子顕微鏡および関連機器,"微細加工装置(EB, FIB他)",3,10.1007/s00276-025-03811-9,Anatomical analysis of maxillary third molars with cone-beam computed tomography: implications for autotransplantation operation,2026,要旨未取得のため、論文題名「Anatomical analysis of maxillary third molars with cone-beam computed tomography: implications for autotransplantation operation」を基にした暫定要約です。 掲載誌: Surgical and Radiologic Anatomy 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.1007/978-3-032-07986-2_28,MTM-HWD® (Human Work Design): Ten Years of Application in the Industrial Field Worldwide,2026,要旨未取得のため、論文題名「MTM-HWD® (Human Work Design): Ten Years of Application in the Industrial Field Worldwide」を基にした暫定要約です。 掲載誌: Lecture Notes in Networks and Systems 出版年: 2026 分野: Conference Paper 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.1186/s12875-025-03064-w,"Makkalai Thedi Maruthuvam: evaluating equity in non-communicable disease care through a doorstep primary health program in Tamil Nadu, India",2026,"要旨未取得のため、論文題名「Makkalai Thedi Maruthuvam: evaluating equity in non-communicable disease care through a doorstep primary health program in Tamil Nadu, India」を基にした暫定要約です。 掲載誌: BMC Primary Care 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。"
5,1,SEM/FIB/イオンミリング,eqnet-2976,3Dリアルサーフェスビュー顕微鏡(KEYENCE・VE-8800),横浜国立大学 研究推進機構 機器分析評価センター,電子顕微鏡および関連機器,走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)),3,10.12957/redp.2026.90910,The unbridled judge in atypical pecuniary enforcement,2026,要旨未取得のため、論文題名「The unbridled judge in atypical pecuniary enforcement」を基にした暫定要約です。 掲載誌: Revista Eletronica De Direito Processual 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.19139/soic-2310-5070-3032,From Intelligence to Trust: Evaluating AI-Powered Service Quality for User Satisfaction and Continuance in mHealth,2026,"Mobile health (mHealth) applications are increasingly integrating artificial intelligence (AI), transforming digital health technologies by making them more convenient, accessible, and personalized. This research addresses the gap in understanding how AI functionalities influence user behavior, guiding the design of effective mHealth solutions. This study examines the correlation between AI-powered service quality, user satisfaction, and continuous usage, using the Sehhaty app in Saudi Arabia a…",10.31127/tuje.1804146,Green Synthesis and Process Optimization of Zinc Oxide Nanoparticles Using Pseudomonas fluorescens: Taguchi–ANN-Based Evaluation of Physico-Chemical Parameters,2026,"The green production of metal nanoparticles is attracting interest due to its environmentally benign manufacturing methods. Zinc oxide (ZnO) nanoparticles possess significant uses as semiconductors, antimicrobials, and photothermal materials; nevertheless, their production by microbes is still inadequately investigated. This study involved the synthesis of ZnO nanoparticles utilizing Pseudomonas fluorescens, with optimization of the physico-chemical incubation parameters affecting nanoparticle…"
6,1,SEM/FIB/イオンミリング,eqnet-4626,3D解析ソフト Amira,広島大学 自然科学研究支援開発センター 機器共用・分析部門 電子顕微鏡,電子顕微鏡および関連機器,電顕用試料作成装置-ミクロトーム等(EM sample preparation. e.g. Microtome.),3,10.1080/15384047.2025.2603095,Assessing progesterone receptor modulation in glioblastoma: from in vitro and animal model to a human pilot protocol,2026,"Our research highlights the critical role PR in GB progression using in vitro and in vivo models. MF, a PR modulator, effectively reduced cell viability and sphere formation in cellular assays and significantly decreased tumor volume in an in vivo study. The pilot trial demonstrated the pharmacological safety of using MF as an adjuvant in GB treatment. Patients treated with MF showed a significant increase in survival, with an 80% survival rate at 1 year compared to 0% in those who were treated…",10.1108/rpj-04-2025-0128,One-step 3D printing of polyurethane structures with tailored intrinsic porosity for wound dressing applications using immersion precipitation 3D printing,2026,"Purpose Porous structures are crucial for wound dressings, but conventional 3D printing techniques often struggle to produce them effectively. This study aims to develop a one-step 3D printing method to fabricate polyurethane wound dressings with tunable pore architectures, addressing the limitations of traditional approaches. Surface roughness and porosity can be controlled in the present method, leading to a potential influence on cell behavior that promotes wound healing. Design/methodology/…",10.1590/1679-7825/e8897,An Exact Geometrically Nonlinear 3D Truss Finite Element with Variable Axial Rigidity Based on Positional Formulation,2026,要旨未取得のため、論文題名「An Exact Geometrically Nonlinear 3D Truss Finite Element with Variable Axial Rigidity Based on Positional Formulation」を基にした暫定要約です。 掲載誌: Latin American Journal of Solids and Structures 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
7,1,SEM/FIB/イオンミリング,eqnet-1020,3元対向ターゲットスパッタリング装置/(株)FTS NFTS-3S-R-0601,東京農工大学 工学府 機械システム工学科,電子顕微鏡および関連機器,"微細加工装置(EB, FIB他)",3,10.1186/s12951-025-03888-9,Growth hormone-releasing peptide 6 (GHRP-6) hydrogel for acute kidney injury therapy via metabolic regulation,2026,"Renal tubular epithelial cells (TECs), which are highly susceptible to injury during acute kidney injury (AKI), have notable regenerative effects on renal recovery after AKI. AKI-driven metabolic reprogramming of TECs plays a critical role in determining whether kidneys recover functionally or develop fibrosis. Targeting the metabolism of TECs offers valuable insights into AKI treatment. Growth hormone-releasing hormone (GHRH) and its analog GHRH peptide (GHRP) play beneficial roles in the fiel…",10.1016/j.fuel.2026.138556,"Synergistic effects between Si, Cu and K promoters and their influences on the structures and performances of Fe-based Fischer–Tropsch synthesis catalysts",2026,"要旨未取得のため、論文題名「Synergistic effects between Si, Cu and K promoters and their influences on the structures and performances of Fe-based Fischer–Tropsch synthesis catalysts」を基にした暫定要約です。 掲載誌: Fuel 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。",10.1016/j.optcom.2026.132903,Study on interference modulation of a rotating Fourier transform spectrometer,2026,要旨未取得のため、論文題名「Study on interference modulation of a rotating Fourier transform spectrometer」を基にした暫定要約です。 掲載誌: Optics Communications 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
8,1,SEM/FIB/イオンミリング,eqnet-3644,3次元SEM画像測定解析システム( VE-9800),九州大学 工学研究院 マテリアル先端リサーチインフラ,電子顕微鏡および関連機器,走査型電子顕微鏡 (SEM/EPMA/EBSD(結晶方位解析)),3,10.12957/redp.2026.90910,The unbridled judge in atypical pecuniary enforcement,2026,要旨未取得のため、論文題名「The unbridled judge in atypical pecuniary enforcement」を基にした暫定要約です。 掲載誌: Revista Eletronica De Direito Processual 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.19139/soic-2310-5070-3032,From Intelligence to Trust: Evaluating AI-Powered Service Quality for User Satisfaction and Continuance in mHealth,2026,"Mobile health (mHealth) applications are increasingly integrating artificial intelligence (AI), transforming digital health technologies by making them more convenient, accessible, and personalized. This research addresses the gap in understanding how AI functionalities influence user behavior, guiding the design of effective mHealth solutions. This study examines the correlation between AI-powered service quality, user satisfaction, and continuous usage, using the Sehhaty app in Saudi Arabia a…",10.31127/tuje.1804146,Green Synthesis and Process Optimization of Zinc Oxide Nanoparticles Using Pseudomonas fluorescens: Taguchi–ANN-Based Evaluation of Physico-Chemical Parameters,2026,"The green production of metal nanoparticles is attracting interest due to its environmentally benign manufacturing methods. Zinc oxide (ZnO) nanoparticles possess significant uses as semiconductors, antimicrobials, and photothermal materials; nevertheless, their production by microbes is still inadequately investigated. This study involved the synthesis of ZnO nanoparticles utilizing Pseudomonas fluorescens, with optimization of the physico-chemical incubation parameters affecting nanoparticle…"
9,1,SEM/FIB/イオンミリング,eqnet-1401,3次元レーザー・リソグラフィ・システム独ナノスクライブGmbH フォトニックプロフェッショナル,名古屋大学 大学院工学研究科,電子顕微鏡および関連機器,"微細加工装置(EB, FIB他)",3,10.1007/s10856-026-07006-5,"The effect of nitrogen atmosphere during post-curing on cytotoxicity, polishability, flexural strength, and surface hardness of 3D-printed denture bases: an in vitro study",2026,"Abstract 3D printing is increasingly utilized in dentistry. Compared to traditional manufacturing methods, 3D printing provides advantages such as faster production times and the ability to create complex structures. Although biocompatible materials are available, many are only suitable for temporary applications. This study examines the impact of nitrogen-aided post-processing on the mechanical properties and cytotoxicity of 3D-printed denture bases, with the hypothesis that this post-processi…",10.4271/2026-26-0220,CS Structure: New Metallic Catalyst Substrate Generation for 2- and 3-Wheeler Applications,2026,"Affordable, efficient and durable catalytic converters for the two and three-wheeler industry in developing countries are required to reduce vehicle emissions and to maintain them at a low level; and therefore, to participate in a cleaner and healthier environment. Especially, metallic catalyst substrates developed by Emitec Technologies GmbH with structured foils like the Longitudinal Structure (LS), or LS-Design® are fully compatible to this effort with more than 70% share of produced 2/3 Whe…",10.1186/s13049-025-01530-z,Effectiveness and safety of techniques for cervical spine immobilization in mountain rescue,2026,"Abstract Background Cervical spine injuries in alpine sports require immediate immobilization at the site of the accident to avoid possible secondary damage caused by transportation. Using special sensor technology, this study investigated whether a cervical spine orthosis (cervical collar, Stifneck collar (Laerdal Medical GmbH, Puchheim, Germany)) provides greater stability than a vacuum mattress alone. Methods Using one male test person, we simulated transporting a patient with a spinal injur…"
10,1,SEM/FIB/イオンミリング,eqnet-1736,3次元電子顕微鏡(日本電子・JEM-z2500),名古屋工業大学 産学官金連携機構設備共用部門,電子顕微鏡および関連機器,透過型電子顕微鏡 (TEM),3,10.1038/s41598-025-30304-x,Telmisartan reduces systemic inflammation and alters the renin-angiotensin system in mild COVID-19,2026,要旨未取得のため、論文題名「Telmisartan reduces systemic inflammation and alters the renin-angiotensin system in mild COVID-19」を基にした暫定要約です。 掲載誌: Scientific Reports 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.1038/s41598-025-30438-y,Gauss-Newton inversion of ground transient electromagnetic data using COMSOL multiphysics,2026,要旨未取得のため、論文題名「Gauss-Newton inversion of ground transient electromagnetic data using COMSOL multiphysics」を基にした暫定要約です。 掲載誌: Scientific Reports 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.1007/s42399-025-02237-z,Efficacy and Safety of Capecitabine-Temozolomide as Second-Line Therapy in Platinum-Refractory Extensive Disease Small Cell Lung Carcinoma (ED-SCLC): A Prospective Real-World Experience from Northern India,2026,要旨未取得のため、論文題名「Efficacy and Safety of Capecitabine-Temozolomide as Second-Line Therapy in Platinum-Refractory Extensive Disease Small Cell Lung Carcinoma (ED-SCLC): A Prospective Real-World Experience from Northern India」を基にした暫定要約です。 掲載誌: SN Comprehensive Clinical Medicine 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
