priority_rank,priority_group,priority_label,doc_id,name,org_name,category_general,category_detail,papers_count,doi_1,title_1,year_1,abstract_1,doi_2,title_2,year_2,abstract_2,doi_3,title_3,year_3,abstract_3
1,2,NMR/ESR,eqnet-569,核磁気共鳴装置(Varian・400MR),広島大学 自然科学研究支援開発センター 機器共用・分析部門 核磁気共鳴装置,核磁気共鳴装置(NMR),400MHz NMR装置,3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
2,2,NMR/ESR,eqnet-568,核磁気共鳴装置(Varian・system500),広島大学 自然科学研究支援開発センター 機器共用・分析部門 核磁気共鳴装置,核磁気共鳴装置(NMR),500MHz NMR装置,3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
3,2,NMR/ESR,eqnet-1239,核磁気共鳴装置(ブルカー・AV NEO 500),愛媛大学 学術支援センター物質科学部門,核磁気共鳴装置(NMR),500MHz NMR装置,3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
4,2,NMR/ESR,eqnet-2367,核磁気共鳴装置(ブルカー・バイオスピン製・Avance III 500),岩手大学 研究支援・産学連携センター 研究基盤管理・機器分析部門 分子構造解析室,核磁気共鳴装置(NMR),500MHz NMR装置,3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
5,2,NMR/ESR,eqnet-5158,核磁気共鳴装置(日本電子・JNM-ECZL400R)(固体用),千葉大学 共用機器センター 共用機器センタ- 共用機器センター,核磁気共鳴装置(NMR),400MHz 固体NMR装置,3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
6,2,NMR/ESR,eqnet-1904,核磁気共鳴装置(日本電子製JNM-ECS400),大阪大学 工学研究科 工学研究科室 分析センター,核磁気共鳴装置(NMR),400MHz NMR装置,3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
7,2,NMR/ESR,eqnet-480,核磁気共鳴装置300MHz Varian Gemini300,長崎大学 研究開発推進機構,核磁気共鳴装置(NMR),300MHz NMR装置,3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
8,2,NMR/ESR,eqnet-3724,核磁気共鳴装置400 (JEOL JNM-ECZL400),鹿児島大学 先端科学研究推進センター 研究支援ユニット 機器分析部門,核磁気共鳴装置(NMR),400MHz NMR装置,3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
9,2,NMR/ESR,eqnet-481,核磁気共鳴装置400MHz JEOL JNM-ECZ400R,長崎大学 研究開発推進機構,核磁気共鳴装置(NMR),400MHz NMR装置,3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
10,2,NMR/ESR,eqnet-3427,核磁気共鳴装置400Mhz,奈良工業高等専門学校 物質化学工学科 物質化学工学科 亀井研究室,核磁気共鳴装置(NMR),400MHz NMR装置,3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
