priority_rank,priority_group,priority_label,doc_id,name,org_name,category_general,category_detail,papers_count,doi_1,title_1,year_1,abstract_1,doi_2,title_2,year_2,abstract_2,doi_3,title_3,year_3,abstract_3
1,2,NMR/ESR,eqnet-1697,超電動フーリエ変換核磁気共鳴装置,岡山大学 惑星物質研究所,核磁気共鳴装置(NMR),400MHz NMR装置,3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
2,2,NMR/ESR,eqnet-3052,超電導磁石システム BioSpec 47/40,滋賀医科大学 実験実習支援センター,画像撮影/解析,"核磁気共鳴イメージング(MRI), X線CT (XrayCT), PET",3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
3,2,NMR/ESR,eqnet-888,超高分解能核磁気共鳴装置(日本電子・ECZL600G),広島大学 自然科学研究支援開発センター 機器共用・分析部門 核磁気共鳴装置,核磁気共鳴装置(NMR),600MHz NMR装置,3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
4,2,NMR/ESR,eqnet-610,超高分解能核磁気共鳴装置(日本電子・LA500),広島大学 自然科学研究支援開発センター 機器共用・分析部門 核磁気共鳴装置,核磁気共鳴装置(NMR),500MHz NMR装置,3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
5,2,NMR/ESR,eqnet-1745,超高感度高分解能核磁気共鳴装置(Bruker・Avance 500US + Cryo),名古屋工業大学 産学官金連携機構設備共用部門,核磁気共鳴装置(NMR),500MHz NMR装置,3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
6,2,NMR/ESR,eqnet-3462,超高磁場固体NMR ECA800,九州大学 先導物質化学研究所 物質機能評価センター 研究支援室,核磁気共鳴装置(NMR),800MHz NMR装置,3,10.1038/s42004-025-01839-x,Structure characterization with NMR molecular networking,2026,"Nuclear Magnetic Resonance (NMR) is among the most widely used techniques for structure determination, yet automated workflows remain underdeveloped compared to mass spectrometry. In this work, we introduce NMR molecular networking and apply it to Heteronuclear Single Quantum Coherence (HSQC) spectra, a key 2D-NMR experiment for structure elucidation. We adapt core principles of MS² networking such as transitivity across multiple spectra, dereplication, and annotation propagation to NMR-driven…",10.1038/s41597-025-06446-y,Scalable cyberinfrastructure for experimental NMR data,2026,"Abstract The Network for Advanced NMR (NAN) is a novel distributed resource that connects Nuclear Magnetic Resonance (NMR) facilities via a scalable cyberinfrastructure supporting NMR data harvesting, interactive data management, and the discovery of instruments, methods, and data to enable emerging data standards in biomedicine, chemistry, and material science. Anchored by the first open-access 1.1 GHz instruments in the USA, NAN integrates NMR facilities around a centralized hub for identity…",10.1007/s12104-025-10251-4,Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1,2026,要旨未取得のため、論文題名「Backbone NMR resonance assignments for the C2 domain of the Streptococcus mutans adhesin P1」を基にした暫定要約です。 掲載誌: Biomolecular NMR Assignments 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
7,2,NMR/ESR,eqnet-470,電子スピン共鳴装置 (JEOL・ ),北海道教育大学 教育学部・函館校,構造解析/元素分析,電子スピン共鳴装置(ESR),3,10.1038/s41531-025-01230-6,Brain-derived extracellular vesicle proteomics reveals neuroprotection induced by the ARB candesartan in Parkinson’s disease patients,2026,"In models of Parkinson's disease (PD), angiotensin-II type-1 receptor (AT1) blockers (ARBs) mitigated the vulnerability of dopaminergic neurons, which aligns with recent transcriptomic studies of human brains showing increased susceptibility of dopaminergic neurons with high AGTR1 expression, and with epidemiological data indicating an ARB-related reduction in PD incidence. However, there is no experimental evidence in PD patients. Using a minimally invasive strategy based on the isolation of b…",10.1016/j.ntm.2025.100110,Synergistic activity of photoactivated curcumin-derived nanocomplexes in combination with antibiotics against planktonic and biofilm bacterial cells,2026,"Background: Alternative antimicrobial strategies such as antimicrobial photodynamic therapy (aPDT) and curcumin-derived nanocomplexes were assessed in this study against biofilm cells of Gram-positive and Gram-negative clinical isolates. Methods: Curcumin-derived nanocomplexes (curcumin-chitosan magnetic nanoparticles [Cur-Chi-MNPs], carbon magnetic-nanoparticles [Cur-C-MNPs] and Curcumin-derived carbon quantum dots [Cur-QDs] were synthetized and characterized using scanning electron microscopy…",10.1186/s13071-025-07165-4,"Extracellular traps, an ancient defense mechanism described in hemocytes of the tick Rhipicephalus microplus",2026,"Abstract Background NETosis is a conserved process that has been maintained throughout evolution in various species. However, in the cattle tick Rhipicephalus microplus , a process similar to NETosis, known as ETosis, has not been previously described. Methods In this work, we demonstrate, using fluorometry and confocal and electron microscopy, the chromatin release and the extracellular trap (ET) formation in tick hemocytes in response to various treatments. Results The treatments analysis sho…"
8,2,NMR/ESR,eqnet-471,電子スピン共鳴装置 (JEOL・ ),北海道教育大学 教育学部・函館校,構造解析/元素分析,電子スピン共鳴装置(ESR),3,10.1038/s41531-025-01230-6,Brain-derived extracellular vesicle proteomics reveals neuroprotection induced by the ARB candesartan in Parkinson’s disease patients,2026,"In models of Parkinson's disease (PD), angiotensin-II type-1 receptor (AT1) blockers (ARBs) mitigated the vulnerability of dopaminergic neurons, which aligns with recent transcriptomic studies of human brains showing increased susceptibility of dopaminergic neurons with high AGTR1 expression, and with epidemiological data indicating an ARB-related reduction in PD incidence. However, there is no experimental evidence in PD patients. Using a minimally invasive strategy based on the isolation of b…",10.1016/j.ntm.2025.100110,Synergistic activity of photoactivated curcumin-derived nanocomplexes in combination with antibiotics against planktonic and biofilm bacterial cells,2026,"Background: Alternative antimicrobial strategies such as antimicrobial photodynamic therapy (aPDT) and curcumin-derived nanocomplexes were assessed in this study against biofilm cells of Gram-positive and Gram-negative clinical isolates. Methods: Curcumin-derived nanocomplexes (curcumin-chitosan magnetic nanoparticles [Cur-Chi-MNPs], carbon magnetic-nanoparticles [Cur-C-MNPs] and Curcumin-derived carbon quantum dots [Cur-QDs] were synthetized and characterized using scanning electron microscopy…",10.1186/s13071-025-07165-4,"Extracellular traps, an ancient defense mechanism described in hemocytes of the tick Rhipicephalus microplus",2026,"Abstract Background NETosis is a conserved process that has been maintained throughout evolution in various species. However, in the cattle tick Rhipicephalus microplus , a process similar to NETosis, known as ETosis, has not been previously described. Methods In this work, we demonstrate, using fluorometry and confocal and electron microscopy, the chromatin release and the extracellular trap (ET) formation in tick hemocytes in response to various treatments. Results The treatments analysis sho…"
9,2,NMR/ESR,eqnet-564,電子スピン共鳴装置 (JEOL・FA200),九州大学 先導物質化学研究所 物質機能評価センター,構造解析/元素分析,電子スピン共鳴装置(ESR),3,10.1038/s41531-025-01230-6,Brain-derived extracellular vesicle proteomics reveals neuroprotection induced by the ARB candesartan in Parkinson’s disease patients,2026,"In models of Parkinson's disease (PD), angiotensin-II type-1 receptor (AT1) blockers (ARBs) mitigated the vulnerability of dopaminergic neurons, which aligns with recent transcriptomic studies of human brains showing increased susceptibility of dopaminergic neurons with high AGTR1 expression, and with epidemiological data indicating an ARB-related reduction in PD incidence. However, there is no experimental evidence in PD patients. Using a minimally invasive strategy based on the isolation of b…",10.1016/j.ntm.2025.100110,Synergistic activity of photoactivated curcumin-derived nanocomplexes in combination with antibiotics against planktonic and biofilm bacterial cells,2026,"Background: Alternative antimicrobial strategies such as antimicrobial photodynamic therapy (aPDT) and curcumin-derived nanocomplexes were assessed in this study against biofilm cells of Gram-positive and Gram-negative clinical isolates. Methods: Curcumin-derived nanocomplexes (curcumin-chitosan magnetic nanoparticles [Cur-Chi-MNPs], carbon magnetic-nanoparticles [Cur-C-MNPs] and Curcumin-derived carbon quantum dots [Cur-QDs] were synthetized and characterized using scanning electron microscopy…",10.1186/s13071-025-07165-4,"Extracellular traps, an ancient defense mechanism described in hemocytes of the tick Rhipicephalus microplus",2026,"Abstract Background NETosis is a conserved process that has been maintained throughout evolution in various species. However, in the cattle tick Rhipicephalus microplus , a process similar to NETosis, known as ETosis, has not been previously described. Methods In this work, we demonstrate, using fluorometry and confocal and electron microscopy, the chromatin release and the extracellular trap (ET) formation in tick hemocytes in response to various treatments. Results The treatments analysis sho…"
10,2,NMR/ESR,eqnet-304,電子スピン共鳴装置 (日本電子(株)製・JES-FA200),横浜国立大学 研究推進機構 機器分析評価センター,構造解析/元素分析,電子スピン共鳴装置(ESR),3,10.1016/j.bioactmat.2025.12.049,Near-infrared light-driven photocatalytic reactive oxygen species-generating antibacterial and self-shrinking hybrid hydrogels for combating drug-resistant bacterial biofilm infection and accelerating wound healing,2026,要旨未取得のため、論文題名「Near-infrared light-driven photocatalytic reactive oxygen species-generating antibacterial and self-shrinking hybrid hydrogels for combating drug-resistant bacterial biofilm infection and accelerating wound healing」を基にした暫定要約です。 掲載誌: Bioactive Materials 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.1016/j.powtec.2026.122122,Impact of chitosan modification on the hyperthermic behaviour of magnetite nanoparticles,2026,要旨未取得のため、論文題名「Impact of chitosan modification on the hyperthermic behaviour of magnetite nanoparticles」を基にした暫定要約です。 掲載誌: Powder Technology 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。,10.1016/j.saa.2025.127257,Colorimetric “off–on” sensing of penicillamine via copper-mediated modulation of laccase-mimetic activity of trimanganese tetroxide nanoflowers,2026,要旨未取得のため、論文題名「Colorimetric “off–on” sensing of penicillamine via copper-mediated modulation of laccase-mimetic activity of trimanganese tetroxide nanoflowers」を基にした暫定要約です。 掲載誌: Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy 出版年: 2026 分野: Article 具体的な手法・条件は「別タブで開く」から原文をご確認ください。
