seq,doc_id,name,org_name,category_general,category_detail,papers_count
1,gF5dwkcwd2ina1Jk7dbu,3次元カラープリントセット POLYGONALmeister Editor academic+ダヴィンチColor 3FC1XXJPZNG,北海道大学,その他_HU (Others),None,3
2,7xdbGiBo9cejdpbj5xCo,3次元動作分析システム エントリーパッケージ,北海道大学,その他_HU (Others),None,3
3,YKHE3wZtzUItU7kEnCO7,3次元電界放出形走査電子顕微鏡（エリオニクス）,産業技術総合研究所,観察・計測・分析,,3
4,pkcOwsmiDfFPcxsEYZsc,3軸テスラメータ,北海道大学,専用測定装置_HU (Specialized Measurement Equipment),None,3
5,Gv4Mg9DuJNg2aCeWcFrg,3軸電磁流速センサー 実験室用,北海道大学,専用測定装置_HU (Specialized Measurement Equipment),None,3
6,BvzD4DexkVHj2peMC0df,400 MHz 核磁気共鳴装置 (NMR),北海道大学,磁気共鳴装置_HU (Magnetic Resonance Equipment),None,3
7,1xq3sXBHvNyNzpsW3hQt,400MHz NMR Spectrometer,沖縄科学技術大学院大学 Instrumental Analysis Section,NMR Spectroscopy,,3
8,HiTw7nWEPkqXPWYpB2Ut,400MHz NMR装置,岡山大学 自然生命科学研究支援センター 分析計測・極低温部門 分析計測分野,分析計測分野,化学系,3
9,4lXD0orJFeZGgwm7v65X,400MHz NMR装置 (北),岡山大学 自然生命科学研究支援センター 分析計測・極低温部門 分析計測分野,分析計測分野,核磁気共鳴装置,3
10,cRS03Juk7CDWOJ6GSgCn,400MHz NMR装置 (南),岡山大学 自然生命科学研究支援センター 分析計測・極低温部門 分析計測分野,分析計測分野,核磁気共鳴装置,3
11,G1kOQJjsT5B25IAhXlJK,400MHz 核磁気共鳴装置,東京農工大学 学術研究支援総合センター 機器分析施設,機器分析施設,,3
12,PneywFrmXklGDD7PyflA,400MHz 核磁気共鳴装置,茨城大学 研究設備共用センター,日立地区,,3
13,NHLaaPEydCkeCJnVqNe0,400MHz 核磁気共鳴装置（NMR-400）,宇都宮大学 研究推進機構 機器分析センター,機器分析センター 管理・運用設備,磁気共鳴分析装置群,3
14,PsC6xs3LHMxae5uBkZiJ,400MHz 溶液NMR,物質・材料研究機構 NIMS Open Facility,分析・計測,強磁場計測,3
15,406hTn9an7xHflPGS0nC,400MHz核磁気共鳴装置,東京工業大学,分析,電磁気分析装置 / 磁気共鳴装置（ＮＭＲ）,3
16,FKJH26dohbrcjnGbSklE,400MHz核磁気共鳴装置 (バリアン 400MR),広島大学 自然科学研究支援開発センター 機器共用・分析部門,核磁気共鳴装置(NMR),,3
17,mghDktEQsZxIiUc25V1X,400MHz核磁気共鳴装置（Bruker）,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,核磁気共鳴(NMR),,3
18,YfbRKAqTrnsCYHxvOk2c,400MHz核磁気共鳴装置（JEOL)①,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,核磁気共鳴(NMR),,3
19,1pdd02OXQZ2cTdjj8AGH,4CH燃焼解析ユニット,北海道大学,専用測定装置_HU (Specialized Measurement Equipment),None,3
20,ATV35QZJ4PBedchcjwB3,4D-Nucleofectorシステム（レンタル専用機器）(2014015),帯広畜産大学 産学連携センター 共同利用設備ステーション,共同利用設備ステーション,細胞解析,3
21,HKENdrx8BER42Am1ELWx,4Kビデオカメラ ﾊﾟﾅｿﾆｯｸVX992M,新潟大学 農学部,その他,ビデオカメラ,3
22,qHRGLqQrTthZctYyALVY,4chマルチJOB FFTアナライザ,北海道大学,物性測定装置_HU (Physical Property Measurement Equipment),None,3
23,wNrtjssN8PyAFrrTVKlz,500 MHz 核磁気共鳴装置（1H-15N-13C三重共鳴プローブ付） UnityINOVA 500,東京大学,研究設備,,3
24,1dSXz2kL4aJH5D3QdUEV,500MHz NMR,奈良先端科学技術大学院大学 マテリアル先端リサーチインフラ事業,核磁気共鳴・電子スピン共鳴,,3
25,ReKobpoSNBSWa5UMxqgV,500MHz NMR Spectrometer,沖縄科学技術大学院大学 Instrumental Analysis Section,NMR Spectroscopy,,3
26,ZBRzA5KPh5D0PJoNW2jg,500MHz NMR測定装置(cancer)(液体試料専用),北海道大学,磁気共鳴装置 (Magnetic Resonance Equipment),核磁気共鳴装置(NMR) (Nuclear Magnetic Resonance (NMR) Spectrometer),3
27,4bSH1T8yd49xNaTWHwvX,500MHz 核磁気共鳴装置,東京農工大学 学術研究支援総合センター 機器分析施設,機器分析施設,,3
28,PNAKogASeYnTqKLWCMZD,500MHz 核磁気共鳴装置,茨城大学 研究設備共用センター,水戸地区,,3
29,RhUhC5MvYjbgqoT9YS0w,500MHz 核磁気共鳴装置（NMR-500）,宇都宮大学 研究推進機構 機器分析センター,機器分析センター 管理・運用設備,磁気共鳴分析装置群,3
30,n9gDoXdJeyhNslIsdyf4,500MHz固体汎用NMRシステム,物質・材料研究機構 NIMS Open Facility,分析・計測,強磁場計測,3
31,HaUd5hXNzPr6PNAO74F8,500MHz固体高分解能NMRシステム,物質・材料研究機構 NIMS Open Facility,分析・計測,強磁場計測,3
32,f0Rwsio3ZSOVtqAhX0wI,500MHz核磁気共鳴装置 (Bruker Avance III HD500),広島大学 自然科学研究支援開発センター 機器共用・分析部門,核磁気共鳴装置(NMR),,3
33,Xk5uVLweYvC08GxzL9cd,500MHz核磁気共鳴装置 (バリアン system500),広島大学 自然科学研究支援開発センター 機器共用・分析部門,核磁気共鳴装置(NMR),,3
34,T7GstGlDjDjkanfpw9jW,500MHz核磁気共鳴装置：(500M-NMR),九州工業大学 機器分析センター,機器分析センター,,3
35,TEYKXbIF6Ln60kikPDR9,5kg高周波誘導真空溶解設備,物質・材料研究機構 NIMS Open Facility,加工・作製,素材作製,3
36,PvyQYlm39ud7XFFVl1Xw,600MHz NMR,奈良先端科学技術大学院大学 マテリアル先端リサーチインフラ事業,核磁気共鳴・電子スピン共鳴,,3
37,2ykLMLP65qZt7FecyKtB,600MHz NMR Spectrometer,沖縄科学技術大学院大学 Instrumental Analysis Section,NMR Spectroscopy,,3
38,FcmxgU8g4sUYO2lRELA2,600MHz NMR測定装置(libra)(液体試料専用),北海道大学,磁気共鳴装置 (Magnetic Resonance Equipment),核磁気共鳴装置(NMR) (Nuclear Magnetic Resonance (NMR) Spectrometer),3
39,akRpV7IJexq7mrpFtamx,600MHz NMR測定装置(pegasus)(液体試料専用),北海道大学,磁気共鳴装置 (Magnetic Resonance Equipment),核磁気共鳴装置(NMR) (Nuclear Magnetic Resonance (NMR) Spectrometer),3
40,EDqLXR5EI80UiV6jpwit,600MHz NMR測定装置(taurus)(液体試料専用),北海道大学,磁気共鳴装置 (Magnetic Resonance Equipment),核磁気共鳴装置(NMR) (Nuclear Magnetic Resonance (NMR) Spectrometer),3
41,IalSifcOcRYdskua0uPC,600MHz NMR装置,岡山大学 自然生命科学研究支援センター 分析計測・極低温部門 分析計測分野,分析計測分野,化学系,3
42,tCSPvZsXeOdRXZGatSkK,600MHz NMR装置,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,核磁気共鳴(NMR),,3
43,rVxiQk8NhVIF910Mlvef,600MHz NMR装置 (Varian NMR System PS600),岡山大学 自然生命科学研究支援センター 分析計測・極低温部門 分析計測分野,分析計測分野,化学系,3
44,P5eMbuAqWVyFqSoleoW2,600MHz 固体高分解能核磁気共鳴装置(固体試料専用),北海道大学,磁気共鳴装置 (Magnetic Resonance Equipment),核磁気共鳴装置(NMR) (Nuclear Magnetic Resonance (NMR) Spectrometer),3
