doc_id,name,org_name,category_general,category_detail,papers_count
zInU6gr8nTSYugVtil94,日本電子 ECA-500 (500MHz NMR),岐阜大学 高等研究院 科学研究基盤センター 機器分析分野,核磁気共鳴装置（FT-NMR）,,3
yQMMDHdruMc1tcVNbCQk,半固体核磁気共鳴装置 (JNM-ECA500),広島大学 自然科学研究支援開発センター 機器共用・分析部門,核磁気共鳴装置(NMR),,3
yPkGoQ5yIiLRS07N943L,超伝導核磁気共鳴装置 (JNM-ECZ400),九州大学 人間環境学研究院部局管理装置,,,3
yIhaMICoeEyPIBbUvZjt,核磁気共鳴装置・電子スピン共鳴装置 (AVANCEⅢ500),岩手大学 全学共同利用機器,核磁気共鳴装置・電子スピン共鳴装置,,3
xmi1p7UgyMJomplEGqDg,核磁気共鳴装置 NMR分光計,北海道大学,磁気共鳴装置_HU (Magnetic Resonance Equipment),None,3
xHJnfJ0Eh4bS8JPIR7k0,400MHz 固体・溶液NMR,奈良先端科学技術大学院大学 マテリアル先端リサーチインフラ事業,核磁気共鳴・電子スピン共鳴,,3
xCGOEUMEGVuqdvnbExSb,核磁気共鳴装置 (400MHz NMR) 固体用,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,核磁気共鳴(NMR),,3
wy4WNIYy6NTExawii4VZ,500MHz NMR測定装置(scorpio)(液体試料専用),北海道大学,磁気共鳴装置 (Magnetic Resonance Equipment),核磁気共鳴装置(NMR) (Nuclear Magnetic Resonance (NMR) Spectrometer),3
wrg9KujHHG1RCIiHRACi,DNP固体 600MHz JEOL,大阪大学 コアファシリティ機構 研究設備・機器共通予約システム,核磁気共鳴(NMR),,3
wqLvr7at1OQqJSknhp51,固液共用核磁気共鳴装置(JNM-ECX400),九州大学 工学研究院部局管理装置,,,3
TuboPNQzIgSF8xjg9JWi,(ARIM)10kV計測システム,筑波大学 オープンファシリティー推進機構,電気特性評価装置,,3
4iwAsYwkc0RrKXpxEoiP,(ARIM)IRエミッション顕微鏡 THEMOS-1000,筑波大学 オープンファシリティー推進機構,専用測定装置,,3
B9iIiFOdCcARZXssno7H,(ARIM)[委託] FIB－SEM Helios Nanolab 600i,筑波大学 オープンファシリティー推進機構,LSIプロセス装置,,3
WWLwJA9jk0TGNsNIJQJ9,(ARIM)イオンミリング装置,筑波大学 オープンファシリティー推進機構,専用測定装置,,3
yhcts1QaREU60vCMOL7X,(ARIM)インクジェットパターン生成装置,筑波大学 オープンファシリティー推進機構,LSIプロセス装置,,3
KuMXfMtAqaZr4ooiMuVf,(ARIM)ウェーハーダイシングマシン DAD322,筑波大学 オープンファシリティー推進機構,LSIパッケージ組立装置,,3
BwmrMWcbiANDPGliYJcN,(ARIM)スパッタリング装置 CFS-4EP-LL,筑波大学 オープンファシリティー推進機構,LSIプロセス装置,,3
Ph3Mz9oBmy0H8vpbnhlu,(ARIM)デバイスシミュレーター,筑波大学 オープンファシリティー推進機構,シミュレータ,,3
BLClIkY4tEpN6XpJsndC,(ARIM)データ解析用PC,筑波大学 オープンファシリティー推進機構,専用測定装置,,3
8Wu7jpQiqKCQa9TvXQbA,(ARIM)パターン投影リソグラフィシステム,筑波大学 オープンファシリティー推進機構,LSIプロセス装置,,3
mu4QmdADIyODE2UYpzNC,(ARIM)パッケージング (ワイヤ・エポキシダイボンダ),筑波大学 オープンファシリティー推進機構,LSIパッケージ組立装置,,3
5Kyned0pvZHotK87qrkp,(ARIM)パワーデバイス特性評価装置 B1505A,筑波大学 オープンファシリティー推進機構,電気特性評価装置,,3
ZmZoYm4Bm8wwdio8MFyi,(ARIM)マスクアライナー Q 2001CT,筑波大学 オープンファシリティー推進機構,LSIプロセス装置,,3
wWQ4Z5JIGZjw4nn1NeEX,(ARIM)光電子分光装置(XPS),筑波大学 オープンファシリティー推進機構,光分析装置,,3
t96AcKYZjOvPoTekpWzf,(ARIM)分光エリプソメータ,筑波大学 オープンファシリティー推進機構,専用測定装置,,3
xpm0OSWLUB3qFKcjj3dQ,(ARIM)半導体特性評価システム B1500A,筑波大学 オープンファシリティー推進機構,電気特性評価装置,,3
mm8V3BGMxbgdMZnF66f1,(ARIM)反応性エッチング装置 RIE-10NR,筑波大学 オープンファシリティー推進機構,LSIプロセス装置,,3
A2sapmT8PnX7SgfqRT8h,(ARIM)多機能走査型X線光電子分光分析装置(XPS/UPS),筑波大学 オープンファシリティー推進機構,光分析装置,,3
ZfOIIJOGXfhydKZLQGTp,(ARIM)小型イオンシャワー,筑波大学 オープンファシリティー推進機構,専用測定装置,,3
jFhwqrvF5H2bWPzWJ6g1,(ARIM)触針式表面段差計 Alpha-Step D-500,筑波大学 オープンファシリティー推進機構,専用測定装置,,3
IuA7AmgWCJQf5Uup6peP,(ARIM)走査型プローブ顕微鏡(SPM/AFM) Dimension Icon,筑波大学 オープンファシリティー推進機構,専用測定装置,,3
0DB6BGf9U2jma6dj1Fze,(ARIM)超高温炉 SR1800TS,筑波大学 オープンファシリティー推進機構,LSIプロセス装置,,3
