doc_id,doi,source,status,error
01ZdNgHPMrwIcs4QayMs,10.31729/jnma.v64i293.9282,openalex,ready,
01ZdNgHPMrwIcs4QayMs,10.1080/17482631.2026.2613971,openalex,ready,
01ZdNgHPMrwIcs4QayMs,10.36001/ijphm.2026.v17i1.4567,openalex,ready,
02y664z8320kdGynar38,10.1080/2162402x.2025.2605741,openalex,ready,
02y664z8320kdGynar38,10.1007/s10143-025-03932-0,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
02y664z8320kdGynar38,10.1186/s42523-025-00503-y,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0490XBbvpqWr1p5aSYAr,10.1016/j.colsurfa.2026.139527,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0490XBbvpqWr1p5aSYAr,10.1016/j.mssp.2026.110439,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0490XBbvpqWr1p5aSYAr,10.1016/j.apsusc.2026.165950,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
05KFuRmZPW0eItBHjHTB,10.19139/soic-2310-5070-2703,openalex,ready,
05KFuRmZPW0eItBHjHTB,10.1186/s12876-025-04467-w,openalex,ready,
05KFuRmZPW0eItBHjHTB,10.1038/s41598-025-26292-7,openalex,ready,
05a2HvpD60wa9U7zLld0,10.31643/2027/6445.01,openalex,ready,
05a2HvpD60wa9U7zLld0,10.31643/2027/6445.12,openalex,ready,
05a2HvpD60wa9U7zLld0,10.1080/17482631.2026.2613971,openalex,ready,
05nx1uFTnyHG9WfLfLOd,10.1038/s41598-025-31872-8,openalex,ready,
05nx1uFTnyHG9WfLfLOd,10.1038/s43247-025-03035-0,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
05nx1uFTnyHG9WfLfLOd,10.1038/s43247-025-03067-6,crossref,ready,
064YwKoDxMzSgpxVn0fl,10.1007/s10792-025-03904-9,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
064YwKoDxMzSgpxVn0fl,10.1007/s10792-025-03893-9,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
064YwKoDxMzSgpxVn0fl,10.1007/s10792-025-03877-9,openalex,ready,
07R4F47G3hoL4COzim35,10.31729/jnma.v64i293.9282,openalex,ready,
07R4F47G3hoL4COzim35,10.1080/17482631.2026.2613971,openalex,ready,
07R4F47G3hoL4COzim35,10.36001/ijphm.2026.v17i1.4567,openalex,ready,
07lUkrRo7W47MDZ66aLe,10.12957/redp.2026.90910,fallback,fallback,elsevier_abstract_missing | openalex_not_found | crossref_not_found
07lUkrRo7W47MDZ66aLe,10.19139/soic-2310-5070-3032,openalex,ready,
07lUkrRo7W47MDZ66aLe,10.31127/tuje.1804146,openalex,ready,
09GyQB8dWePceVsUOoGy,10.1186/s42523-025-00503-y,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
09GyQB8dWePceVsUOoGy,10.1007/s11657-025-01644-y,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
09GyQB8dWePceVsUOoGy,10.1186/s12891-025-09382-5,openalex,ready,
09s5ujYX4DiPfL6JrOmB,10.1038/s40494-026-02312-1,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
09s5ujYX4DiPfL6JrOmB,10.1186/s12889-025-25311-6,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
09s5ujYX4DiPfL6JrOmB,10.1016/j.jmst.2025.10.011,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
09xiabwQCG8Jz2nSt3YV,10.1038/s42004-025-01839-x,openalex,ready,
09xiabwQCG8Jz2nSt3YV,10.1007/s12104-025-10251-4,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
09xiabwQCG8Jz2nSt3YV,10.1038/s41598-025-28860-3,openalex,ready,
0CvVXwXOIbKS51h0f4Rk,10.31643/2027/6445.07,openalex,ready,
0CvVXwXOIbKS51h0f4Rk,10.1007/s10143-025-04016-9,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0CvVXwXOIbKS51h0f4Rk,10.1038/s41467-025-67413-0,openalex,ready,
0DB6BGf9U2jma6dj1Fze,10.13138/2039-2362/4082,openalex,ready,
0DB6BGf9U2jma6dj1Fze,10.1049/icp.2025.2914,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0DB6BGf9U2jma6dj1Fze,10.1111/1365-2656.70050,openalex,ready,
0DhPnnl72RQ2mb15FPf9,10.1007/s11033-025-11374-6,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0DhPnnl72RQ2mb15FPf9,10.1038/s41598-025-24834-7,openalex,ready,
0DhPnnl72RQ2mb15FPf9,10.1186/s13007-025-01480-8,crossref,ready,
0ECVrnybdpnBHLYPmCdc,10.1016/j.jphotochem.2026.117033,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0ECVrnybdpnBHLYPmCdc,10.1016/j.jmst.2025.08.012,fallback,fallback,elsevier_abstract_missing | openalex_abstract_missing | crossref_abstract_missing
0ECVrnybdpnBHLYPmCdc,10.1016/j.afres.2025.101612,openalex,ready,
