document_id,equipment_id,name,org_name,previous_status,new_status,matched_query,queries_tried_count,queries_tried,papers_count,error
eqnet-1000,eqnet-1000,蛍光顕微鏡(キーエンス製・BZ-X710 ),長崎大学 水産・環境科学総合研究科 水産科学領域,,ready,"TITLE-ABS-KEY(""BZ"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""BZ"") AND DOCTYPE(ar OR cp)",3,
eqnet-1001,eqnet-1001,粉末X線回折装置 (理学電機(株)製・Miniflex600-DX ),長崎大学 工学研究科,,ready,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",3,
eqnet-1002,eqnet-1002,(工)SQUID帯磁率測定装置 (Quantum Design MPMS-5S),広島大学 先進理工系科学研究科 応用化学プログラム,,ready,"TITLE-ABS-KEY(""SQUID"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""SQUID"") AND DOCTYPE(ar OR cp)",3,
eqnet-1005,eqnet-1005,(工)ICP発光分析装置(SPS 3000),広島大学 先進理工系科学研究科 化学工学プログラム,,ready,"TITLE-ABS-KEY(""ICP"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""ICP"") AND DOCTYPE(ar OR cp)",3,
eqnet-1009,eqnet-1009,高速度カメラシステム(FASTCAM・SA-X2model),鳥取大学 研究推進機構,,ready,"TITLE-ABS-KEY(""FASTCAM"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""FASTCAM"") AND DOCTYPE(ar OR cp)",3,
eqnet-1014,eqnet-1014,簡易核酸・蛋白定量装置(ThermoFisher・The Qubit(R) 2.0 Fluorometer),鳥取大学 研究推進機構,,ready,"TITLE-ABS-KEY(""ThermoFisher"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""ThermoFisher"") AND DOCTYPE(ar OR cp)",3,
eqnet-1015,eqnet-1015,DNA断片化装置(Covaris・DNA Shearing System M220),鳥取大学 研究推進機構,,ready,"TITLE-ABS-KEY(""DNA"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""DNA"") AND DOCTYPE(ar OR cp)",3,
eqnet-1016,eqnet-1016,サーマルサイクラー(Bio-Rad・T100),鳥取大学 研究推進機構,,ready,"TITLE-ABS-KEY(""Bio"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""Bio"") AND DOCTYPE(ar OR cp)",3,
eqnet-1017,eqnet-1017,微量遠心機(Eppendorf・5424),鳥取大学 研究推進機構,,ready,"TITLE-ABS-KEY(""Eppendorf"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""Eppendorf"") AND DOCTYPE(ar OR cp)",3,
eqnet-102,eqnet-102,透過型電子顕微鏡 (日本電子JEM-3010),香川大学 創造工学部 材料物質科学,,ready,"TITLE-ABS-KEY(""TEM"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""TEM"") AND DOCTYPE(ar OR cp)",3,
eqnet-1020,eqnet-1020,3元対向ターゲットスパッタリング装置/(株)FTS NFTS-3S-R-0601,東京農工大学 工学府 機械システム工学科,,ready,"TITLE-ABS-KEY(""FTS"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""FTS"") AND DOCTYPE(ar OR cp)",3,
eqnet-1021,eqnet-1021,二フッ化キセノンエッチング装置/Samco社 VPE-4F,東京農工大学 工学府 機械システム工学科,,ready,"TITLE-ABS-KEY(""Samco"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""Samco"") AND DOCTYPE(ar OR cp)",3,
eqnet-1022,eqnet-1022,反応性イオンエッチング装置/立山マシン TEP-Xd,東京農工大学 工学府 機械システム工学科,,ready,"TITLE-ABS-KEY(""TEP"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""TEP"") AND DOCTYPE(ar OR cp)",3,
eqnet-1023,eqnet-1023,ICP発光分析装置/島津製作所 ICPS-7510,東京農工大学 工学府 化学システム工学科,,ready,"TITLE-ABS-KEY(""ICP"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""ICP"") AND DOCTYPE(ar OR cp)",3,
eqnet-1024,eqnet-1024,X線マイクロアナライザー/日本電子 JXA-8900M,東京農工大学 工学府 化学システム工学科,,ready,"TITLE-ABS-KEY(""SEM"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""SEM"") AND DOCTYPE(ar OR cp)",3,
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,,no_results_verified,"TITLE-ABS-KEY(""SMI3050HS"") AND DOCTYPE(ar OR cp)",3,"TITLE-ABS-KEY(""SMI3050HS"") AND DOCTYPE(ar OR cp) || TITLE-ABS-KEY(""EB"") AND TITLE-ABS-KEY(""微細加工装置 EB, FIB他"") AND DOCTYPE(ar OR cp) || TITLE-ABS-KEY(""SMI3050HS"") AND AFFIL(""広島大学"") AND DOCTYPE(ar OR cp)",0,
eqnet-103,eqnet-103,イメージングプレート型単結晶X線回折装置 (リガク・R-AXIS RAPID II),香川大学 創造工学部 材料物質科学 石井研究室,,ready,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",1,"TITLE-ABS-KEY(""XRD"") AND DOCTYPE(ar OR cp)",3,
