document_id,equipment_id,name,org_name,query,title,doi,source,year,genre,auto_match,reason,model_tokens,vendor_tokens,core_terms
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Achieving Tensile Strength of 1 GPa with Ductility in Al-Cu Alloy (A2024),10.2320/jinstmet.J202537,Nippon Kinzoku Gakkaishi Journal of the Japan Institute of Metals,2026,Article,no,strict_match_failed,SMI3050HS,,集束イオンビーム | focusedionbeam | fib
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Morphological evolution of silicon surfaces nanopatterned by focused ion beam irradiation,10.1038/s41598-025-33947-y,Scientific Reports,2026,Article,yes,core_term_in_title,SMI3050HS,,集束イオンビーム | focusedionbeam | fib
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Optical interference for the guidance of cryogenic focused ion beam milling beyond the axial diffraction limit,10.1038/s41467-025-65548-8,Nature Communications,2026,Article,yes,core_term_in_title,SMI3050HS,,集束イオンビーム | focusedionbeam | fib
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Application of convolutional neural networks in focused ion beam scanning electron microscopy image denoising,10.1038/s41598-025-32444-6,Scientific Reports,2026,Article,yes,core_term_in_title,SMI3050HS,,集束イオンビーム | focusedionbeam | fib
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Patch-Based convolutional neural networks for multiple microstructural features detection in FIB-SEM micrographs of irradiated nuclear fuel,10.1038/s41598-025-23606-7,Scientific Reports,2026,Article,yes,core_term_in_title,SMI3050HS,,集束イオンビーム | focusedionbeam | fib
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Reconstruction and analysis of pore blockage fouling in ceramic ultrafiltration membranes through FIB-SEM,10.1038/s41467-025-67662-z,Nature Communications,2026,Article,yes,core_term_in_title,SMI3050HS,,集束イオンビーム | focusedionbeam | fib
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Soft X-ray imaging with coherence tomography in the water window spectral range using high-harmonic generation,10.1038/s41377-025-02057-9,Light Science and Applications,2026,Article,no,strict_match_failed,SMI3050HS,,集束イオンビーム | focusedionbeam | fib
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Gated MoS2/SiN nanochannel for tunable ion transport and protein translocation,10.1186/s12951-025-03991-x,Journal of Nanobiotechnology,2026,Article,no,strict_match_failed,SMI3050HS,,集束イオンビーム | focusedionbeam | fib
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",B2O3 fluxing-assisted bonding mechanisms enabling plasma spraying of gas-tight corrosion-resistant NiCrB coating,10.1016/j.jmst.2025.09.069,Journal of Materials Science and Technology,2026,Article,no,strict_match_failed,SMI3050HS,,集束イオンビーム | focusedionbeam | fib
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",In-situ observations of cyclic deformation in an extruded Mg-2Nd-1Y-0.1Zr-0.1Ca alloy,10.1016/j.ijfatigue.2026.109489,International Journal of Fatigue,2026,Article,no,strict_match_failed,SMI3050HS,,集束イオンビーム | focusedionbeam | fib
