document_id,equipment_id,name,org_name,query,title,doi,source,year,reason_not_auto,decision
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Achieving Tensile Strength of 1 GPa with Ductility in Al-Cu Alloy (A2024),10.2320/jinstmet.J202537,Nippon Kinzoku Gakkaishi Journal of the Japan Institute of Metals,2026,strict_match_failed,
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Soft X-ray imaging with coherence tomography in the water window spectral range using high-harmonic generation,10.1038/s41377-025-02057-9,Light Science and Applications,2026,strict_match_failed,
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Gated MoS2/SiN nanochannel for tunable ion transport and protein translocation,10.1186/s12951-025-03991-x,Journal of Nanobiotechnology,2026,strict_match_failed,
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",B2O3 fluxing-assisted bonding mechanisms enabling plasma spraying of gas-tight corrosion-resistant NiCrB coating,10.1016/j.jmst.2025.09.069,Journal of Materials Science and Technology,2026,strict_match_failed,
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",In-situ observations of cyclic deformation in an extruded Mg-2Nd-1Y-0.1Zr-0.1Ca alloy,10.1016/j.ijfatigue.2026.109489,International Journal of Fatigue,2026,strict_match_failed,
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Fabrication of superconducting nanowire arrays by nano laser direct writing,10.1063/5.0265844,Nanotechnology and Precision Engineering,2026,strict_match_failed,
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Sol–gel derived Pd–SiO2 catalyst for high-adhesion metallization of silicone rubber,10.1016/j.apsusc.2026.166176,Applied Surface Science,2026,strict_match_failed,
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Predicting the structure of ultra shallow EUV gratings fabricated via ion irradiation,10.1016/j.apsusc.2026.166007,Applied Surface Science,2026,strict_match_failed,
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Enhanced tribological and conductive properties of supramolecular gels via CuS@MXene nanohybrids,10.1016/j.apsusc.2026.166068,Applied Surface Science,2026,strict_match_failed,
eqnet-1027,eqnet-1027,(先端)集束イオンビーム装置 (セイコーインスツルメンツ・SMI3050HS),広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,"TITLE-ABS-KEY(""focused ion beam"") AND DOCTYPE(ar OR cp)",Toxic nanoparticles in Amazon River sediments: Microscopy and satellite-based assessment,10.1016/j.marpolbul.2026.119369,Marine Pollution Bulletin,2026,strict_match_failed,
