document_id,equipment_id,eqnet_equipment_id,org_name,prefecture_before,prefecture_after,region_before,region_after,prefecture_source,match_mode,matched_org_name
BgTlExNXBbQ2qucdlopX,UTOKYO-119,1793,東京大学,,東京都,,関東,eqnet_org_map,alias_exact,東京大学
LrqcCTgpNoAes0orBwBD,UTOKYO-115,1793,東京大学,,東京都,,関東,eqnet_org_map,alias_exact,東京大学
OBBE0USbvvOenDExg4Sv,UTOKYO-118,1793,東京大学,,東京都,,関東,eqnet_org_map,alias_exact,東京大学
OIUatfEGj458KZpTwCIH,OIUatfEGj458KZpTwCIH,533,東京医科歯科大学,,東京都,,関東,eqnet_org_map,alias_exact,東京医科歯科大学
PeMkDFT6WSRAuOVeTqyt,UTOKYO-121,1793,東京大学,,東京都,,関東,eqnet_org_map,alias_exact,東京大学
PvmKWP4Tc12GXyL6o5rK,UTOKYO-127,1792,東京大学,,東京都,,関東,eqnet_org_map,alias_exact,東京大学
XZsNAVPfJTtnThFrhAqV,UTOKYO-285,3646,東京大学,,東京都,,関東,eqnet_org_map,alias_exact,東京大学
e95sDMcCzmQMtbQGTI4D,UTOKYO-133,1790,東京大学,,東京都,,関東,eqnet_org_map,alias_exact,東京大学
eqnet-1000,eqnet-1000,1000,長崎大学 水産・環境科学総合研究科 水産科学領域,,長崎県,,九州,eqnet_org_map,prefix,長崎大学
eqnet-1001,eqnet-1001,1001,長崎大学 工学研究科,,長崎県,,九州,eqnet_org_map,prefix,長崎大学
eqnet-1002,eqnet-1002,1002,広島大学 先進理工系科学研究科 応用化学プログラム,,広島県,,中国,eqnet_org_map,prefix,広島大学
eqnet-1005,eqnet-1005,1005,広島大学 先進理工系科学研究科 化学工学プログラム,,広島県,,中国,eqnet_org_map,prefix,広島大学
eqnet-1009,eqnet-1009,1009,鳥取大学 研究推進機構,,鳥取県,,中国,eqnet_org_map,prefix,鳥取大学
eqnet-1014,eqnet-1014,1014,鳥取大学 研究推進機構,,鳥取県,,中国,eqnet_org_map,prefix,鳥取大学
eqnet-1015,eqnet-1015,1015,鳥取大学 研究推進機構,,鳥取県,,中国,eqnet_org_map,prefix,鳥取大学
eqnet-1016,eqnet-1016,1016,鳥取大学 研究推進機構,,鳥取県,,中国,eqnet_org_map,prefix,鳥取大学
eqnet-1017,eqnet-1017,1017,鳥取大学 研究推進機構,,鳥取県,,中国,eqnet_org_map,prefix,鳥取大学
eqnet-102,eqnet-102,102,香川大学 創造工学部 材料物質科学,,香川県,,四国,eqnet_org_map,prefix,香川大学
eqnet-1020,eqnet-1020,1020,東京農工大学 工学府 機械システム工学科,,東京都,,関東,eqnet_org_map,prefix,東京農工大学
eqnet-1021,eqnet-1021,1021,東京農工大学 工学府 機械システム工学科,,東京都,,関東,eqnet_org_map,prefix,東京農工大学
eqnet-1022,eqnet-1022,1022,東京農工大学 工学府 機械システム工学科,,東京都,,関東,eqnet_org_map,prefix,東京農工大学
eqnet-1023,eqnet-1023,1023,東京農工大学 工学府 化学システム工学科,,東京都,,関東,eqnet_org_map,prefix,東京農工大学
eqnet-1024,eqnet-1024,1024,東京農工大学 工学府 化学システム工学科,,東京都,,関東,eqnet_org_map,prefix,東京農工大学
eqnet-1027,eqnet-1027,1027,広島大学 先進理工系科学研究科 量子物質科学プログラム 量子機能材料科学,,広島県,,中国,eqnet_org_map,prefix,広島大学
eqnet-103,eqnet-103,103,香川大学 創造工学部 材料物質科学 石井研究室,,香川県,,四国,eqnet_org_map,prefix,香川大学
eqnet-1030,eqnet-1030,1030,九州大学 先導物質化学研究所 物質機能評価センター,,福岡県,,九州,eqnet_org_map,prefix,九州大学
eqnet-1032,eqnet-1032,1032,九州大学 先導物質化学研究所 物質機能評価センター,,福岡県,,九州,eqnet_org_map,prefix,九州大学
eqnet-1033,eqnet-1033,1033,九州大学 先導物質化学研究所 物質機能評価センター,,福岡県,,九州,eqnet_org_map,prefix,九州大学
eqnet-1034,eqnet-1034,1034,九州大学 先導物質化学研究所 物質機能評価センター,,福岡県,,九州,eqnet_org_map,prefix,九州大学
eqnet-1041,eqnet-1041,1041,九州大学 先導物質化学研究所 物質機能評価センター,,福岡県,,九州,eqnet_org_map,prefix,九州大学
eqnet-1042,eqnet-1042,1042,九州大学 先導物質化学研究所 物質機能評価センター,,福岡県,,九州,eqnet_org_map,prefix,九州大学
eqnet-1043,eqnet-1043,1043,宮崎大学 産学・地域連携センター 機器分析支援部門,,宮崎県,,九州,eqnet_org_map,prefix,宮崎大学
eqnet-1044,eqnet-1044,1044,宮崎大学 産学・地域連携センター 機器分析支援部門,,宮崎県,,九州,eqnet_org_map,prefix,宮崎大学
eqnet-1045,eqnet-1045,1045,宮崎大学 産学・地域連携センター 機器分析支援部門,,宮崎県,,九州,eqnet_org_map,prefix,宮崎大学
eqnet-1046,eqnet-1046,1046,宮崎大学 産学・地域連携センター 機器分析支援部門,,宮崎県,,九州,eqnet_org_map,prefix,宮崎大学
eqnet-1047,eqnet-1047,1047,宮崎大学 産学・地域連携センター 機器分析支援部門,,宮崎県,,九州,eqnet_org_map,prefix,宮崎大学
eqnet-1048,eqnet-1048,1048,宮崎大学 産学・地域連携センター 機器分析支援部門,,宮崎県,,九州,eqnet_org_map,prefix,宮崎大学
eqnet-1049,eqnet-1049,1049,宮崎大学 産学・地域連携センター 機器分析支援部門,,宮崎県,,九州,eqnet_org_map,prefix,宮崎大学
eqnet-1051,eqnet-1051,1051,群馬大学 大学院理工学府,,群馬県,,関東,eqnet_org_map,prefix,群馬大学
eqnet-1052,eqnet-1052,1052,群馬大学 研究・産学連携推進機構 高度研究推進・支援部門 機器分析センター,,群馬県,,関東,eqnet_org_map,prefix,群馬大学
eqnet-1053,eqnet-1053,1053,群馬大学 研究・産学連携推進機構 高度研究推進・支援部門 機器分析センター,,群馬県,,関東,eqnet_org_map,prefix,群馬大学
eqnet-1054,eqnet-1054,1054,群馬大学 研究・産学連携推進機構 高度研究推進・支援部門 機器分析センター,,群馬県,,関東,eqnet_org_map,prefix,群馬大学
