doc_id,name,papers_used,abstract_ja_updated,usage_summary_len,status,error
002KVtwb3DcwtGekcLdD,TG-GC-MS (Netzsch、島津),3,0,215,ok,
01ZdNgHPMrwIcs4QayMs,スライドスキャナー装置,3,0,139,ok,
02y664z8320kdGynar38,水晶振動子マイクロバランス応用分子間相互作用解析装置,3,0,186,ok,
0490XBbvpqWr1p5aSYAr,[682]住友 TEOS PECVD#2〔リンク〕,3,0,234,ok,
05KFuRmZPW0eItBHjHTB,フラットミリング装置(IM-3000),3,0,196,ok,
05a2HvpD60wa9U7zLld0,高精度圧力制御システム,3,0,182,ok,
05nx1uFTnyHG9WfLfLOd,Fluorescence Spectrophotometer,3,0,273,ok,
064YwKoDxMzSgpxVn0fl,二光子共焦点レーザー顕微鏡 (Carl Zeiss LSM 510 Meta NLO),3,0,227,ok,
07R4F47G3hoL4COzim35,等温滴定型熱量計,3,0,136,ok,
07lUkrRo7W47MDZ66aLe,エネルギー分散型X線分析装置付走査型電子顕微鏡 (日立ハイテクS3000N),3,0,164,ok,
09GyQB8dWePceVsUOoGy,凍結破砕装置 オートミル,3,0,213,ok,
09s5ujYX4DiPfL6JrOmB,電子線元素状態分析装置 EPMA,3,0,186,ok,
09xiabwQCG8Jz2nSt3YV,核磁気共鳴装置(JNM-ECS400),3,0,143,ok,
0CvVXwXOIbKS51h0f4Rk,CCDマルチICP発光分光分析装置,3,0,165,ok,
0DB6BGf9U2jma6dj1Fze,(ARIM)超高温炉 SR1800TS,3,0,252,ok,
0DhPnnl72RQ2mb15FPf9,NanoDrop Lite Plus Spectrophotometer,3,0,271,ok,
0ECVrnybdpnBHLYPmCdc,小型自動質量分析装置(HPLC-シングル四重極MS),3,0,240,ok,
0EPkdsPxiYCiMNsG1Blr,電界放出型電子プローブマイクロアナライザ(EPMA),3,0,205,ok,
0ETtIhtHkwEHGF8wNUbD,3D測定レーザー顕微鏡,3,0,194,ok,
0EolnmqWCY7rQY51ivd6,スキャナータイプ画像解析装置 FLA 7000,3,0,196,ok,
0F6f7oGV9k4DoEom22Uy,超音波ホモジナイザー,3,0,211,ok,
0GGo2oV9YxDZFO2bNoNb,AR-NW14A Time-resolved Diffraction and Scattering,3,0,233,ok,
0Gio1BFAcJaq5B1sIY6E,床置式オイルミストコレクター,3,0,179,ok,
0GnqtjKWTE9wDQ5rcSBW,遠心エバポレーター CE 1D,3,0,204,ok,
0H31fbRnAVRagxxcqw6D,日本分光 HPLC,3,0,200,ok,
0HNrrDll9T936o2Bslf8,イオンクロマトグラフ(IC),3,0,203,ok,
0HPeIyJls2Pk3uku3v5m,AR-NW12A Macromolecular Crystallography,3,0,223,ok,
0HRXlApGha4WNp6wlVT5,フーリエ変換赤外分光光度計,3,0,246,ok,
0JfkJPiIoWIiuMJawTcq,クリーンベンチ,3,0,167,ok,
0Llr2PoaBQjubAMaI7oU,プラズマCVD 装置,3,0,175,ok,
0MWsaZTaXGwrvUIlE86q,電界放出形透過電子顕微鏡 FE-TEM,3,0,187,ok,
0Mlo73FBEQOIA8BCoyHz,【医機セ】大判プリンター(SC-T7250),3,0,166,ok,
0NGXQzCVufXNP2X8o2jh,サーマルサイクラー,3,0,137,ok,
0Ne3BFPrE348mpad9Dps,実験動物用高分解能マイクロX線CT (リガク・ホールディングス CosmoScan GXⅢ),3,0,224,ok,
0P8n8b8YFC8X0lkLbHZW,SOIウエハ・レーザー刻印付き,3,0,153,ok,
0PEP3Z24xtvUV6y92LBt,高温縦型引張試験炉 (MAT-150KS2),3,0,177,ok,
0PKyjML9H5VXju0iwDK2,生細胞イメージング・プレートリーダー,3,0,227,ok,
0QCc1QdDDhb4LReHmOfp,インピーダンス/ゲイン・フェーズアナライザ,3,0,177,ok,
0RZQPYiU6bQoPbt27Bxf,ガスクロマトグラフ質量分析計,3,0,208,ok,
0SOUxQW3f2Iz7OKJrizq,共焦点レーザー走査型顕微鏡エビデント社製FV4000,3,0,207,ok,
0SPJ41WAdBX1LsVxqKW7,3D/4D蛍光画像解析ソフトウェア,3,0,200,ok,
0TEl5ydJ9uRrO5f7xlih,共焦点・超解像顕微鏡(TCS SP8 STED),3,0,215,ok,
0UdVbsC9nh64iXRUFZW7,デジタル旋光計,3,0,172,ok,
0Ui7mQrdRRlt0vg9NQbY,ケミカルインピーダンスアナライザ,3,0,187,ok,
0WbCZe63E3DJP9pJrteJ,MALDI-TOF質量分析計 Bruker microflex LRF,3,0,223,ok,
0XaEYjbZUYwINTcRVKug,セルソーター (BD FACS Aria Ⅲ),3,0,228,ok,
0YlQLLYozmRdFl1VWqoz,LC/QTOF質量分析システム,3,0,198,ok,
0YvHk0IxAkL0mZ0ZqtUO,超高圧水銀光源,3,0,202,ok,
0Z6wyp1JaEmbWxnkUpwi,超高感度示差走査熱量計(DSC6100),1,0,171,ok,
0ZO3sGv5FWN2g16UMwrS,走査電子顕微鏡 (EDS、高真空/低真空モード搭載),3,0,152,ok,
0a4za0EI2CUSp1qmIrJY,万能試験機(UH-500kNX),3,0,201,ok,
0aeex6lWv5jxpbxiLRXp,【研基セ】ガスクロマトグラフ(GC-TCD),3,0,225,ok,
0asezH53Tie7cvkvSu9h,屈折計,3,0,113,ok,
0ciXnGr71Uiz6N3U88Ch,【武田SCR】 シールドルーム SR602M SR602M,3,0,243,ok,
0cyhudxqthTE9hrLzffp,MaxQ8000スタッカブルインキュベーション/コールドシェーカー,3,0,234,ok,
0euDBH9nI8Bti49KS5Oj,PromethION 解析PC (Arcbrain SXQ2000SLNT),3,0,205,ok,
0fP7n5C8xIAhwKS2UQKj,高速液体クロマトグラフ,3,0,212,ok,
0gbg9uSiyQXAE9jCDXCr,【武田SCR】 金属二次元NC加工装置 RD420 RD420,3,0,184,ok,
0gkFo2IUWLfJsWaRCM2l,EQCM装置,3,0,224,ok,
0h0mfLLss0GODeCYcGRh,核磁気共鳴分光装置 JNM-ECA500,3,0,144,ok,
0iwisV8a1eBT1pWeX0jD,LMS LunaFL蛍光・明視野自動細胞計数装置,3,0,177,ok,
0j2rviuJEmSBpssX8KC7,スクライブ装置 DPS-301R-KU （ダイトロンテクノロジー㈱）,3,0,212,ok,
0jYW9aNpzyBm2ctRcvLL,画像解析装置,3,0,171,ok,
0lNnz4Bb98SntDjciG8d,2次元迅速測定X線回折装置(湾曲IP) (Micro Area X-Ray Diffractometer),3,0,239,ok,
0lOsnJNDqMqf1JLyLvUg,赤外線真空加熱炉,3,0,169,ok,
0lcLwMuStZ676K1Mzp9p,凍結乾燥装置 日本電子株式会社 JFD-300,3,0,149,ok,
0m7cF5YafLKdgxBf4uJF,低損傷走査型分析電子顕微鏡 JSM-7500FA,3,0,239,ok,
0mZKmsP29XBp872vSW0n,レーザーアブレーション ICP-MS,3,0,161,ok,
0miTJVFmg2BrSZH2ZrAe,化合物半導体エッチング装置（ICP-RIE）,3,0,170,ok,
0o0CirKetf2R34yc1PKD,核磁気共鳴装置(＊) JEOL JNM-ECA600,3,0,150,ok,
0oCPE6OM2sepzymC53jP,ルミノ・イメージアナライザー,3,0,179,ok,
0oPUTI0h9ODyy3CilkNa,ソフトマテリアル三次元構造解析システム JEM-1400他,3,0,172,ok,
0ohZJJeLRjMU0y0DGKJf,蛍光セルイメージャー ZOE,3,0,215,ok,
0p0ihLLBgk8fiGBZyFpz,超音波パルス・レシーバー,3,0,168,ok,
0pBWvk4yD9M6MGBtHvw4,走査型電子顕微鏡 日本電子株式会社 JSM-6390LV,3,0,154,ok,
0pc0N6JMVc94EQ3mWaR6,高圧蒸気滅菌器 LSX-300,3,0,243,ok,
0rLXJ8oD0parY4I0DOJL,絶対PL量子収率測定装置 C9920-02G,3,0,193,ok,
0rZwyr9t5li3kgdWTmkm,光露光装置 DDB-701-DL4-FBT 等 （ネオアーク㈱）,3,0,170,ok,
