index	doc_id	equipment_id	name	beginner_non_ws_chars	elapsed_sec	validate_status	audit_status
1	KUMAMOTO-list3f-02	KUMAMOTO-list3f-02	断面イオンミリング 株式会社日立ハイテクノロジーズ E-3500	2649	180	PASS	PASS
2	KUMAMOTO-list3f-05	KUMAMOTO-list3f-05	精密切断機 ビューラー アイソメット	2513	181	PASS	PASS
3	iN4iv68nHnLH63Rbw2tD	KUMAMOTO-list3f-05	精密切断機 ビューラー アイソメット	2551	182	PASS	PASS
4	KUMAMOTO-list3f-04	KUMAMOTO-list3f-04	自動研磨装置 ビューラー メタザーブ250 + ベクトルLC250	2711	183	PASS	PASS
5	KUMAMOTO-list3f-07	KUMAMOTO-list3f-07	金スパッタリング・カーボン蒸着装置 株式会社日立ハイテクノロジーズ E-1010	2741	184	PASS	PASS
6	SvQRc4JuKTgLcTu1rsJh	KUMAMOTO-list3f-07	金スパッタリング・カーボン蒸着装置 株式会社日立ハイテクノロジーズ E-1010	2560	185	PASS	PASS
7	KUMAMOTO-list3f-01	KUMAMOTO-list3f-01	電子線マイクロアナライザ 株式会社島津製作所 EPMA-1720H	2732	186	PASS	PASS
8	gr3Vcqj6vgJw9QXBkJHH	KUMAMOTO-list3f-01	電子線マイクロアナライザ 株式会社島津製作所 EPMA-1720H	2689	187	PASS	PASS
9	KUMAMOTO-list3f-09	KUMAMOTO-list3f-09	集束イオンビーム (Focused Ion Beam) 株式会社日立ハイテクノロジーズ NB5000	2710	188	PASS	PASS
10	aCaM3wSDHa4NyWNZDzDW	KUMAMOTO-list3f-09	集束イオンビーム (Focused Ion Beam) 株式会社日立ハイテクノロジーズ NB5000	2580	189	PASS	PASS
11	KUMAMOTO-list3f-10	KUMAMOTO-list3f-10	電界放出型走査電子顕微鏡 日本電子株式会社 JSM-7600F	2487	190	PASS	PASS
12	U1BUr0RTkKrPe7NAznny	KUMAMOTO-list3f-10	電界放出型走査電子顕微鏡 日本電子株式会社 JSM-7600F	2683	180	PASS	PASS
13	VLi11PHAPvUUYmMw4Tp3	VLi11PHAPvUUYmMw4Tp3	液体ｼﾝﾁﾚｰｼｮﾝｶｳﾝﾀｰ－型式：AccuFLEX LSC-8000	2552	181	PASS	PASS
14	2BJbNIWamHA1K1YpVej6	2BJbNIWamHA1K1YpVej6	液体ｼﾝﾁﾚｰｼｮﾝｶｳﾝﾀｰ－型式：LSC-6100	2778	182	PASS	PASS
15	4z2BL1tvjflMsfMD7lpz	4z2BL1tvjflMsfMD7lpz	液体ｼﾝﾁﾚｰｼｮﾝｶｳﾝﾀｰ－型式：LSC-6100	2809	183	PASS	PASS
16	zi1yT7fU9lLrsbZCUane	zi1yT7fU9lLrsbZCUane	ﾏｲｸﾛﾌﾟﾚｰﾄｼﾝﾁﾚｰｼｮﾝ・ﾙﾐﾈｯｾﾝｽｶｳﾝﾀｰ－型式：TopCount NXT	2805	184	PASS	PASS
17	KUMAMOTO-list4f-08	KUMAMOTO-list4f-08	イオンスパッタリング装置 日本電子株式会社 JFC-1100E	2461	185	PASS	PASS
18	lTqd5v0S9o9IQG3l6SZL	KUMAMOTO-list4f-08	イオンスパッタリング装置 日本電子株式会社 JFC-1100E	2568	186	PASS	PASS
19	KUMAMOTO-list4f-07	KUMAMOTO-list4f-07	凍結乾燥装置 日本電子株式会社 JFD-300	2522	187	PASS	PASS
20	KUMAMOTO-list4f-06	KUMAMOTO-list4f-06	走査型電子顕微鏡 日本電子株式会社 JSM-6390LV	2603	188	PASS	PASS
21	KUMAMOTO-list1f-01	KUMAMOTO-list1f-01	透過型電子顕微鏡 FEI TECNAI F20	2586	189	PASS	PASS
22	ozOCOvoE6Sw2VpxWrhDG	KUMAMOTO-list1f-01	透過型電子顕微鏡 FEI TECNAI F20	2521	190	PASS	PASS
23	KUMAMOTO-list5f-01	KUMAMOTO-list5f-01	ULSIバーチャルファクトリー	2482	180	PASS	PASS
24	KUMAMOTO-list5f-04	KUMAMOTO-list5f-04	イオン分光装置	2434	181	PASS	PASS
25	TwyXvE2fhknPM72TZ4hG	KUMAMOTO-list5f-04	イオン分光装置	2586	182	PASS	PASS
26	KUMAMOTO-list5f-05	KUMAMOTO-list5f-05	レーザー共焦点顕微鏡	2611	183	PASS	PASS
27	KUMAMOTO-list5f-02	KUMAMOTO-list5f-02	二次イオン質量分析器 SIMS	2475	184	PASS	PASS
28	VD1b5MAID8FkRvfmtwTh	KUMAMOTO-list5f-02	二次イオン質量分析器 SIMS	2703	185	PASS	PASS
29	KUMAMOTO-list5f-06	KUMAMOTO-list5f-06	超高真空エッチング装置	2607	186	PASS	PASS
30	sbxUhEraF8q7E6MfPgPM	KUMAMOTO-list5f-06	超高真空エッチング装置	2697	187	PASS	PASS
31	KUMAMOTO-list5f-03	KUMAMOTO-list5f-03	電子損失分光装置 HREELS	2557	188	PASS	PASS
32	Wwa21o32jMwx0VVa35Fi	KUMAMOTO-list5f-03	電子損失分光装置 HREELS	2780	189	PASS	PASS
33	HmdbYdUSxx9uCuxhtnxF	HmdbYdUSxx9uCuxhtnxF	単結晶X線回折装置	2546	190	PASS	PASS
34	hzzHikfI02IrG6BW6DWM	hzzHikfI02IrG6BW6DWM	単結晶X線回折装置	2605	180	PASS	PASS
35	kjwS6xcg54MtXReDMd6c	kjwS6xcg54MtXReDMd6c	粉末X線回折装置	2378	181	PASS	PASS
36	TOKUSHIMA-59	TOKUSHIMA-59	X線光電子分光装置（XPS）	2408	182	PASS	PASS
37	TOKUSHIMA-64	TOKUSHIMA-64	単結晶X線構造解析装置	2626	183	PASS	PASS
38	TOKUSHIMA-77	TOKUSHIMA-77	高出力試料水平型多目的X線回折装置（XRD）	2666	184	PASS	PASS
39	MIE-equipment4	MIE-equipment4	X線界面構造解析装置（XRR）	2609	185	PASS	PASS
40	OHFl57aZLStRCEjLuxEE	MIE-equipment4	X線界面構造解析装置（XRR）	2638	186	PASS	PASS
41	MIE-equipment9	MIE-equipment9	光電子分光分析装置（ESCA）	2539	187	PASS	PASS
42	xmnLsSGoI9yiSoyLhcT2	MIE-equipment9	光電子分光分析装置（ESCA）	2729	188	PASS	PASS
43	MIE-equipment5	MIE-equipment5	単結晶X線構造解析装置（SC-XRD）	2539	189	PASS	PASS
44	ZNKZuDs8cfqxuHXPquDA	MIE-equipment5	単結晶X線構造解析装置（SC-XRD）	2733	190	PASS	PASS
45	MIE-equipment7	MIE-equipment7	蛍光X線分析装置（XRF）	2625	180	PASS	PASS
46	arjgiO0PmkdOymefhPI3	MIE-equipment7	蛍光X線分析装置（XRF）	2697	181	PASS	PASS
47	MIE-equipment3	MIE-equipment3	試料水平型多目的X線回折測定装置（XRD）	2632	182	PASS	PASS
48	MIE-equipment10	MIE-equipment10	走査型X線光電子分光分析装置 （多モードトポ解析システム/XPS）	2517	183	PASS	PASS
49	MIE-equipment11	MIE-equipment11	電子線マイクロアナライザ （多モードトポ解析システム/EPMA)	2521	184	PASS	PASS
50	eqnet-3605	eqnet-3605	"小型環境試験機(SH241) "	2468	185	PASS	PASS
51	eqnet-3603	eqnet-3603	"小型高温チャンバー(ST 110)"	2756	186	PASS	PASS
52	eqnet-3604	eqnet-3604	"小型高温チャンバー(ST 120)"	2648	187	PASS	PASS
53	eqnet-3616	eqnet-3616	"精密切断(FINECUT)"	2629	188	PASS	PASS
54	TuboPNQzIgSF8xjg9JWi	TSUKUBA-428	(ARIM)10kV計測システム	2682	189	PASS	PASS
55	4iwAsYwkc0RrKXpxEoiP	TSUKUBA-312	(ARIM)IRエミッション顕微鏡 THEMOS-1000	2650	190	PASS	PASS
56	B9iIiFOdCcARZXssno7H	TSUKUBA-309	(ARIM)[委託] FIB－SEM Helios Nanolab 600i	2838	180	PASS	PASS
57	WWLwJA9jk0TGNsNIJQJ9	TSUKUBA-313	(ARIM)イオンミリング装置	2654	181	PASS	PASS
58	yhcts1QaREU60vCMOL7X	TSUKUBA-292	(ARIM)インクジェットパターン生成装置	2808	182	PASS	PASS
59	KuMXfMtAqaZr4ooiMuVf	TSUKUBA-293	(ARIM)ウェーハーダイシングマシン DAD322	2594	183	PASS	PASS
60	BwmrMWcbiANDPGliYJcN	TSUKUBA-294	(ARIM)スパッタリング装置 CFS-4EP-LL	2809	184	PASS	PASS
61	Ph3Mz9oBmy0H8vpbnhlu	TSUKUBA-295	(ARIM)デバイスシミュレーター	2612	185	PASS	PASS
62	BLClIkY4tEpN6XpJsndC	TSUKUBA-354	(ARIM)データ解析用PC	2650	186	PASS	PASS
63	8Wu7jpQiqKCQa9TvXQbA	TSUKUBA-296	(ARIM)パターン投影リソグラフィシステム	2650	187	PASS	PASS
64	mu4QmdADIyODE2UYpzNC	TSUKUBA-297	(ARIM)パッケージング (ワイヤ・エポキシダイボンダ)	2685	188	PASS	PASS
65	5Kyned0pvZHotK87qrkp	TSUKUBA-311	(ARIM)パワーデバイス特性評価装置 B1505A	2773	189	PASS	PASS
66	ZmZoYm4Bm8wwdio8MFyi	TSUKUBA-299	(ARIM)マスクアライナー Q 2001CT	2907	190	PASS	PASS
67	wWQ4Z5JIGZjw4nn1NeEX	TSUKUBA-310	(ARIM)光電子分光装置(XPS)	2568	180	PASS	PASS
68	t96AcKYZjOvPoTekpWzf	TSUKUBA-314	(ARIM)分光エリプソメータ	2638	181	PASS	PASS
69	xpm0OSWLUB3qFKcjj3dQ	TSUKUBA-306	(ARIM)半導体特性評価システム B1500A	2684	182	PASS	PASS
70	mm8V3BGMxbgdMZnF66f1	TSUKUBA-307	(ARIM)反応性エッチング装置 RIE-10NR	2751	183	PASS	PASS
71	A2sapmT8PnX7SgfqRT8h	TSUKUBA-353	(ARIM)多機能走査型X線光電子分光分析装置(XPS/UPS)	2676	184	PASS	PASS
72	ZfOIIJOGXfhydKZLQGTp	TSUKUBA-315	(ARIM)小型イオンシャワー	2805	185	PASS	PASS
73	jFhwqrvF5H2bWPzWJ6g1	TSUKUBA-301	(ARIM)触針式表面段差計 Alpha-Step D-500	2611	186	PASS	PASS
74	IuA7AmgWCJQf5Uup6peP	TSUKUBA-302	(ARIM)走査型プローブ顕微鏡(SPM/AFM) Dimension Icon	2896	187	PASS	PASS
75	0DB6BGf9U2jma6dj1Fze	TSUKUBA-574	(ARIM)超高温炉 SR1800TS	2729	188	PASS	PASS
76	FJh2TqdgSJlgeYAu1XZA	TSUKUBA-305	(ARIM)電子線描画装置 ELS-750EX	2627	189	PASS	PASS
77	m3K2sSXLaZfF4sLBqmaV	TSUKUBA-304	(ARIM)電子線蒸着装置 EB-540T	2719	190	PASS	PASS
78	fIKkABE5Ln6Iy05xZ0DL	TSUKUBA-303	(ARIM)電界放出型走査電子顕微鏡 (委託観察対応機器) SU-8020	2837	180	PASS	PASS
79	2naQD8Zz5jjbKuekuqc9	TSUKUBA-300	(ARIM)顕微ラマン装置 NRS-5100	2535	181	PASS	PASS
80	Mx4ZKyic2cXzAgJ4QInR	TSUKUBA-241	(アドバンストSEM)卓上顕微鏡 TM4000Plus	2735	182	PASS	PASS
81	ZerRfkIp7l3lsm9YHLTf	TSUKUBA-244	(アドバンストSEM)超高分解能ショットキー走査電子顕微鏡 SU7000	2753	183	PASS	PASS
82	Y0KPdJiU8c6wqzKZXYHT	TSUKUBA-243	(アドバンストSEM)集束イオンビーム加工観察装置JIB-4000	2980	184	PASS	PASS
83	MjyaeNQXkmyBIqplGbh9	TSUKUBA-242	(アドバンストSEM)高分解能FEB測長装置(CD-SEM) CS4800	2918	185	PASS	PASS
84	pX8wHcyzbDjwt5yY2iWf	TSUKUBA-206	(ナノグリーン)電気化学測定システム	2530	186	PASS	PASS
85	BA2gljE8vgIHUyf0UttN	TSUKUBA-209	(パワエレ共用)ドライエッチングシステム CDE-7-4	2674	187	PASS	PASS
86	Kbof5ywCEEJCcEdMsLww	TSUKUBA-490	(パワエレ共用)レーザー顕微鏡	2714	188	PASS	PASS
87	JjvY80aHFQV53OTbQ2Nd	TSUKUBA-208	(パワエレ共用)極低温プローブステーション CMPS-308-4K-6P-20	2865	189	PASS	PASS
88	0a98VbKUslonmfMjfTwL	0a98VbKUslonmfMjfTwL	(組織・細胞用)多点電極刺激記録装置	2490	190	PASS	PASS
89	DrpHy38EUGtaoO5Ls3Ev	TSUKUBA-237	(薄膜特性解析G)薄膜X線回折装置	2815	180	PASS	PASS
90	eqnet-5240	eqnet-5240	(霞)細胞外フラックスアナライザー	2452	181	PASS	PASS
91	l3yVFPLdRkXxRRCYBQJh	l3yVFPLdRkXxRRCYBQJh	1.5K 無冷媒冷凍機1	2381	182	PASS	PASS
92	eqnet-4122	eqnet-4122	1000kN万能試験機 前川試験機製作所(MRA-100-F2)	2589	183	PASS	PASS
93	eqnet-4196	eqnet-4196	1000kN油圧万能試験機 東京試験機(YU-1000SIV)	2572	184	PASS	PASS
94	hfBIjh30Tume5vAz31jF	OSAKA-705	1000トン超高圧発生装置	2681	185	PASS	PASS
95	XwKSdyzZMwNQHWEaHfo6	TSUKUBA-482	100kv（小型）透過型電顕	2585	186	PASS	PASS
96	eqnet-4118	eqnet-4118	10MN大型構造物性能評価システム 島津製作所(UH-C10MNX)	2664	187	PASS	PASS
97	AUUydx6XUviKtGmIIEp7	UTOKYO-254	10X Genomics Chromiumシステム	2670	188	PASS	PASS
98	820cQ0j4FcSztQlFFUkl	HOKUDAI-AP-901916	10kV ACDC増幅器	2629	189	PASS	PASS
99	2oDYKjYWBX8ooTGzXU2v	TSUKUBA-284	10x Chromium コントローラー（機器利用のみ）	2643	190	PASS	PASS
100	PQi0mxd038GwG1W6u574	AIST-MEMS020	12"Si 深掘ドライエッチング装置	2662	180	PASS	PASS
