eqnet-3769	"(霞)超電導核磁気共鳴装置(Bruker AvanceIII HD500)"
mvHeWRPnzgxqa2wHKaqo	"3Dプリンタ"
MIYAZAKI-1259	"3Dプリンター（樹脂用）"
IaeeL2CR9ANNkremST1r	"513層多層押出成形装置(YG-006)"
eqnet-4217	"AFM(nano cute) 日立ハイテクサイエンス(nano cute)"
TbixpF14gEAkJxs7gZcX	"AV-300N （Bruker社製）"
eqnet-3776	"AppliedBiosystems・433A Peptide Synthesizer"
TOKUSHIMA-8	"CNC旋盤"
eqnet-1997	"CO2インキュベーター(170L) MCO-18M三洋電機株式会社 MCO-18M"
eqnet-1998	"CO2インキュベーター(170L) MCO-19AIC三洋電機株式会社 MCO-19AIC(UV)"
eqnet-4582	"CO2インキュベーター(MCO-19AIC) SANYO(MCO-19AIC)"
SaMRMxP9aLhQkdyV332N	"CW単一周波数チューナブルTi:Sレーザーシステム"
eqnet-2437	"DGGE用電気泳動装置 (バイオラッド・Dcode)"
tzWYEW4SuXMTRDcLAvcU	"DLTS測定装置"
eqnet-4272	"DNA/RNA分析用マイクロチップ電気泳動装置 島津製作所(MCE-202 MultiNA)"
TC9XElqZZ5EDrXYDzaaN	"DNAシークエンサー SeqStudio Genetic Analyzer"
YpiYi5rGQqcX6ofJF4lt	"DNAシーケンサー －型式： Spectrum Compact CE System"
aL0L8jOJoNHKcJb5wRrW	"DNAシーケンサー －型式： Spectrum Compact CE System"
eqnet-1015	"DNA断片化装置(Covaris・DNA Shearing System M220)"
eqnet-3803	"DSC"
YAMANASHI-EBSD-VELOCITY-PRO	"EBSD検出器 (SEMに付属)"
eqnet-2704	"EB蒸着装置(アルバック・UEP-2000 OT-H/C)"
eqnet-2521	"EB露光装置"
eqnet-4283	"FTIR JASCO(FT/IR-6600)"
eqnet-3546	"FTIR(顕微付き)"
eqnet-3708	"Fe-57メスバウア分光測定装置(WissEl社)"
eqnet-872	"GC/FT-IR"
eqnet-2281	"GM サーベイメータ"
eqnet-4896	"GM型放射能測定装置(アロカ株式会社 JDC-125)"
eqnet-4295	"GPC(ゲル浸透クロマトグラフィー)システム(溶媒:DMSO)"
eqnet-4300	"GPC(ゲル浸透クロマトグラフィー)システム(溶媒:THF)"
eqnet-4296	"GPC(ゲル浸透クロマトグラフィー)システム(溶媒:ホルムアミド)"
eqnet-1831	"Ge半導体γ線核種分析装置"
UA14kmn46HR5OHoCGEln	"Ge半導体検出器 (GC2018)"
8RumePXKXafofSnMhIK6	"HANDY LAP"
eqnet-2641	"HPLC装置(日本分光・PU-4180)"
eqnet-2642	"HPLC装置(日本分光・PU-980)"
eqnet-742	"HPLC装置(有機酸)(島津製作所・LC20AD)"
eqnet-743	"HPLC装置(糖)(島津製作所・LC20AD)"
eqnet-739	"HPLC装置(色素)(島津製作所・LC20AD)"
nqIATlWlNoeCMRDZG4sV	"ICDD検索システム PDF-4 +2016"
eqnet-2711	"ICP-RFスパッタ装置(株)ULVAC・MB02-5002)"
qh1aCaDcFKMLNMBCxXlh	"ICP発光分光分析装置"
Taaz0WL6kUvPa8BmftoN	"ISOMET LOW SPEED SAW"
