eqnet-4207	"スピンコーター(U13 MS-A150) ミカサ(MS-A150)"
eqnet-2056	"スプレーコーター((株)三明・DC120)"
eqnet-5285	"スライドスキャナー Olympus VS200 Olympus(SLIDEVIEW VS200)"
eqnet-1949	"セクショニング光学顕微鏡 DeltaVision S/N : pd12562"
eqnet-82	"セクター型質量分析装置 (JEOL製・JMS700)"
eqnet-2472	"セルアナライザー"
eqnet-4724	"セルアナライザー BD FACS CantoII Becton Dickinson(FACSCanto II)"
eqnet-4725	"セルアナライザー BD LSR Fortessa Becton Dickinson(LSRFortessa)"
eqnet-4165	"セルアナライザーLSR Fortessa Becton Dickinson(LSR Fortessa SORP)"
eqnet-5194	"セルカウンター (スクラム Cell Drop)"
eqnet-1198	"セルソーター (ベックマンコールター・MoFlo Astrios)"
eqnet-4723	"セルソーター BD FACS AriaII-3号機 Becton Dickinson(FACSAriaSORP)"
eqnet-5266	"セルソーター BD FACS AriaII-4号機 Becton Dickinson(FACSAriaSORP)"
eqnet-5267	"セルソーター BD FACS AriaIII Becton Dickinson(FACSAria III)"
oJ5bTwYkxgJaVl0pNsGX	"セルソーター(1) (BD FACSAriaFusion)"
wyarohdA8zU8Fr2JGIhK	"セルソーター(2)(UV励起搭載) (BD SORP Aria)"
eqnet-2351	"セルソーター(BD FACSAria III)"
eqnet-2352	"セルソーター(BD FACSAria IIu)"
eqnet-2626	"セルソーター(BD・FACSAria II)"
eqnet-2134	"セルソーターシステム(ベクトンディッキンソン BD FACS Aria IIセルソーター)"
eqnet-3845	"ゼータ電位/粒径測定システム(大塚電子ELS-Z)"
eqnet-3775	"ゼータ電位・粒径・分子量測定システム 大塚電子 ELSZ-2000ZS"
eqnet-1220	"ゼータ電位・粒径測定システム ELS-Z2Plus"
eqnet-5033	"ソニケーター (TOMY UD-200)"
eqnet-4779	"ソニケーター BRANSON SONIFIER 250 (1-7F) BRANSON(SONIFIER 250-Advanced)"
eqnet-4263	"タンデムペレトロン加速器 National Electronics Corporation(3SDH-2)"
eqnet-4184	"タンデム四重極型質量分析装置 Waters(XEVO TQ-S)"
eqnet-2645	"タンパク質ブロッティング装置(Bio-Rad・Trans-Blot Turbo)"
eqnet-4764	"タンパク質相互作用解析 GE BiacoreX100 Cytiva(BiacoreX100)"
