eqnet-2430	"プロテインシーケンサ (SHIMADZU・PPSQ-51A)"
eqnet-613	"プロテインシーケンサー (Shimadzu PPSQ-31A)"
eqnet-819	"プロテオーム前処理サービス"
eqnet-1938	"プローブ顕微鏡 JEOL JSPM-5200"
eqnet-853	"ペプチドシーケンサー(島津制作所製・PPSQ-33A)"
eqnet-478	"ペプチドシーケンサー(島津製作所製・PPSQ-31A型)"
eqnet-4209	"ホットプレート(EB用 PMC720)(PMC720)"
eqnet-5054	"マイクロCT Skyscan 1174(BRUKER)"
eqnet-5225	"マイクロCT Skyscan 1276"
eqnet-4757	"マイクロアレイ Agilent G2505C Agilent(G2505C DNA Microarray Scanne)"
eqnet-5251	"マイクロアレイスキャナシステム(Agilent・G2600D)"
eqnet-2637	"マイクロアレイ解析装置(Affymetrix・GeneAtlas)"
eqnet-908	"マイクロチップ型電気泳動装置(Agilent2100バイオアナライザ)"
eqnet-1323	"マイクロチップ型電気泳動装置(Agilent、Agilent2100)"
eqnet-1324	"マイクロチップ型電気泳動装置(Agilent、Agilent2100)"
eqnet-2738	"マイクロチップ電気泳動装置MultiNA(島津製作所・MCE-202)"
eqnet-4149	"マイクロビッカース硬度計 島津製作所(HMV-21DT)"
eqnet-3019	"マイクロフォーカスX線CTスキャナ (Zeiss・Xradia)"
fhdS4rNbL8KWEYpQx0x2	"マイクロプレート吸光度リーダー（Plate Reader）"
eqnet-4926	"マイクロ冷却遠心機(株式会社 久保田製作所 Model 3740)"
eqnet-4065	"マイクロ波Si・絶縁膜RIE装置 東京エレクトロン"
fBzkOfPZv7HNuG3bwZ8S	"マイクロ波合成反応装置 (MicroSYNTH)"
VgQpipwfZQbZom07c2xO	"マグネトロンスパッタ装置 (Pt用)"
eqnet-4233	"マスクアライナー(3FCR) SUSS MicroTec(MJB4)"
eqnet-4201	"マスクアライナー(MJB-4) SUSS(MJB-4)"
eqnet-4219	"マスクアライナー(サブミクロンマスクアライメント MJB-3) SUSS(MJB-3)"
eqnet-4221	"マスクアライナー(スピンデバイス用リソグラフィ装置 MJB-3) SUSS(MJB-3)"
eqnet-2705	"マスクアライナー(ミカサ・MA-10)"
eqnet-1174	"マスクレス露光装置 D-LIGHT DL-1000"
eqnet-923	"マトリックス支援レーザー脱離イオン化飛行時間型質量分析装置(JEOL・JMS-S3000)"
eqnet-5168	"マトリックス自動塗布装置(島津製作所・iMLayer AERO)"
eqnet-5167	"マトリックス蒸着装置(島津製作所・iMLayer)"
eqnet-4087	"マニュアルプローバ cascade 8inch,1/fノイズ計測システム付 Cascade Microtech(SQ-S11861B)"
eqnet-2313	"マルチ蛍光スキャナ Typhoon"
eqnet-2104	"マルディ飛行時間質量分析(MALDI TOF MS)"
nw1xu7TwM2GpOpMJxVqv	"ミリ波ベクトルネットワークアナライザ(MVNA)"
eqnet-2090	"モジュレーテッド示差熱分析(MDSC)"
eqnet-4274	"ユニバーサルコンパクト遠心機 Thermo Fisher Scientific(Sorvall ST 8FR)"
eqnet-4552	"ライブセルイメージング(Celldiscoverer 7) Zeiss(Celldiscoverer 7)"
eqnet-1112	"ラマン分光装置(日本分光(株) NRS-7100)"
eqnet-3324	"ラマン顕微鏡 Photon Design RSM-310 [レーザー波長] 1064nm"
eqnet-2633	"ルミノイメージアナライザー(FUJIFILM・LAS4000mini)"
eqnet-825	"ルミノ・イメージアナライザー(GE ヘルスケア・ジャパン株式会社・ImageQuant LAS 4000)"
eqnet-4807	"ルミノ・イメージアナライザー(GEヘルスケア:ImageQuant 800)"
QxWI7gsrca1xHL8WeghO	"レーザーイオン化飛行時間型質量分析装置(MALDI-TOF/MS) (島津 MALDI-8020)"
eqnet-2138	"レーザーマイクロダイセクション(カールツァイス PALM)"
eqnet-1757	"レーザーラマン分光分析装置(日本分光・NRS-3300)"
eqnet-3493	"レーザーラマン分光装置 (日本分光 NRS-7100)"
XxI7KLYZHrBYDESnlrEp	"レーザー回折/散乱式粒子径分布測定装置（SLS）"
eqnet-4360	"レーザー描画装置(DWL66+) ハイデルベルグ・インストルメンツ(DWL66+)"
eqnet-2178	"レーザー粒度分布測定器 (Malvern・Mastersizer 2000)"
eqnet-3523	"レーザー顕微鏡"
eqnet-4615	"レーザー顕微鏡(KEYENCE VK-X3000)"
eqnet-3730	"ロータリーゲージワッシャー CL-5004K 2200型"
eqnet-4225	"ワイドレンジナノ形状測定システム(Si室) 島津製作所(FT-3500)"
VrAnuKqzJ61PTRgf2rxE	"ワンショット3D形状測定機"
YAMANASHI-3D-VR-5000	"ワンショット3D形状測定機"
eqnet-1329	"一体型蛍光顕微鏡(Keyence・BZ9000)"
eqnet-4927	"一次元目専用等電点電気泳動システム(GEヘルスケア社(現・Cytiva社)Ettan IPGphor 3)"
eqnet-1762	"三次元顕微蛍光寿命イメージング装置(東京インスツルメンツ・NF-3DFLIM-N03)"
eqnet-3626	"中赤外・遠赤外吸収測定装置(Spectrum400 FT-IR/FIR SpotLight400 IRイメージング)"
eqnet-4909	"二次元電気泳動システム(GEヘルスケア社(現・Cytiva社)Ettan DALT6)"
jYNmihmMnT7weejrrWfQ	"二重収束質量分析計（DI-MS）"
eqnet-3024	"交流消磁装置(夏原技研・DEM-95)"
